chr_replace,chr_replace_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,genome_fasta,genome_fasta_filetype,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chr_replace,parameters.chr_replace.values,parameters.chr_replace|__identifier__,parameters.chromInfo,parameters.dbkey,parameters.decode_url,parameters.expose,parameters.filtering,parameters.full_gff_attribute_preservation,parameters.gffs.__current_case__,parameters.gffs.ensembl,parameters.gffs.gff_fmt,parameters.gffs.output_cmd,parameters.gffs.tname,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.maxintron,parameters.merging.__current_case__,parameters.merging.merge_cmd,parameters.merging.merge_options,parameters.merging.merge_sel,parameters.reference_genome.__current_case__,parameters.reference_genome.fa_outputs,parameters.reference_genome.fasta_indexes,parameters.reference_genome.genome_fasta,parameters.reference_genome.genome_fasta.values,parameters.reference_genome.ref_filtering,parameters.reference_genome.source,parameters.region.__current_case__,parameters.region.discard_partial,parameters.region.range,parameters.region.region_filter,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,,,2015-09-15 09:31:50.311164,slurm_normal,1442309579.0,0,,1.0,3088287848.0,fasta,main_w1_handler0,2434589,10322045,False,,65788977,gtf,4606003.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21102739,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24028239.0,1442309539.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:33:01.455275,54091.0,40.0
,,,,2015-09-15 09:47:50.955427,slurm_normal,1442310543.0,0,,1.0,3088287848.0,fasta,main_w1_handler0,2434589,10322125,False,,65788977,gtf,4606125.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21102739,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24028239.0,1442310490.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:49:04.793226,54091.0,53.0
,,,,2015-09-15 10:02:39.041245,slurm_normal,1442311413.0,0,,1.0,3088287848.0,fasta,main_w1_handler2,2439430,10322165,False,,68642803,gtf,4606170.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21114827,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24810829.0,1442311374.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 10:03:36.099698,53748.0,39.0
,,,,2015-09-15 09:41:12.056410,slurm_normal,1442310134.0,0,,1.0,3088287848.0,fasta,main_w1_handler0,2434589,10322095,False,,65788977,gtf,4606102.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21102739,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24028239.0,1442310092.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:42:16.770151,54091.0,42.0
,,,,2015-09-15 10:03:38.253091,slurm_normal,1442311478.0,0,,1.0,3088287848.0,fasta,main_w1_handler0,2439430,10322167,False,,68642803,gtf,4606172.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21114827,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24810829.0,1442311442.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 10:04:40.008468,53748.0,36.0
,,,,2015-09-15 09:57:36.961429,slurm_normal,1442311105.0,0,,1.0,3088287848.0,fasta,main_w1_handler2,2439430,10322150,False,,68642803,gtf,4606154.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21114827,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24810829.0,1442311071.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:58:27.772028,53748.0,34.0
,,,,2015-09-15 09:48:43.780948,slurm_normal,1442310599.0,0,,1.0,3088287848.0,fasta,main_w1_handler1,2434589,10322130,False,,65788977,gtf,4606132.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21102739,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24028239.0,1442310551.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:50:02.063057,54091.0,48.0
,,,,2015-09-15 09:48:14.585731,slurm_normal,1442310613.0,0,,1.0,3088287848.0,fasta,main_w1_handler1,2439430,10322127,False,,68642803,gtf,4606126.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21114827,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24810829.0,1442310523.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:50:16.463083,53748.0,90.0
897604628.0,sam,,,2015-06-19 04:40:24.005812,slurm_normal,1434688873.0,0,,1.0,,,main_w1_handler0,2345709,9689519,False,,35546378,gtf,3998678.roundup,slurm,,132112168.0,corral-repl,,,20058079,,"""DSAR001_H2_BC63_GCGAAT_L005_R1_002.fastq""","""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""","""False""","""False""",,"""False""",0,,none,,,20064070,,,"""""",0.0,,,none,0.0,,,,,,none,0,,,none,32.0,,23670194.0,1434688847.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-06-19 04:41:16.801696,52016.0,26.0
897722908.0,sam,,,2015-06-19 04:40:23.192185,slurm_normal,1434688879.0,0,,1.0,,,main_w2_handler1,2345709,9689517,False,,35546378,gtf,3998679.roundup,slurm,,132112168.0,corral-repl,,,20058073,,"""DSAR001_H2_BC63_GCGAAT_L005_R1_001.fastq""","""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""","""False""","""False""",,"""False""",0,,none,,,20064070,,,"""""",0.0,,,none,0.0,,,,,,none,0,,,none,32.0,,23670194.0,1434688849.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-06-19 04:41:22.224093,52016.0,30.0
,,,,2015-09-15 09:54:48.865283,slurm_normal,1442310937.0,0,,1.0,3088287848.0,fasta,main_w1_handler2,2439430,10322146,False,,68642803,gtf,4606150.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21114827,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24810829.0,1442310903.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 09:55:38.720768,53748.0,34.0
610659456.0,sam,,,2015-06-19 04:40:23.611442,slurm_normal,1434688892.0,0,,1.0,,,main_w1_handler1,2345709,9689518,False,,35546378,gtf,3998680.roundup,slurm,,132112168.0,corral-repl,,,20058077,,"""DSAR001_H2_BC63_GCGAAT_L005_R1_003.fastq""","""/galaxy-repl/localdata/chrom/rn5.len""","""rn5""","""False""","""False""",,"""False""",0,,none,,,20064070,,,"""""",0.0,,,none,0.0,,,,,,none,0,,,none,32.0,,23670194.0,1434688856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-06-19 04:41:34.341722,52016.0,36.0
,,,,2015-09-15 12:01:58.293649,slurm_normal,1442318569.0,0,,1.0,3088287848.0,fasta,main_w1_handler1,2439538,10322864,False,,65788977,gtf,4606842.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-O""]","""False""",0,,none,,,21115794,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24879224.0,1442318535.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 12:02:52.637841,7115.0,34.0
,,,,2015-09-15 17:38:33.082506,slurm_normal,1442338744.0,0,,1.0,,,main_w2_handler0,2439883,10325620,False,,151497639,gff3,4609486.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""",,"""True""",0,,none,,,21119476,,,"""""",0.0,,,none,0.0,,,,,,none,0,,,none,32.0,,25191556.0,1442338732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-09-15 17:39:08.685412,,12.0
,,,,2015-06-19 20:48:25.645906,slurm_normal,1434746936.0,0,,1.0,,,main_w1_handler0,2349495,9695973,False,,32274794,gtf,4004268.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/bosTau6.len""","""bosTau6""","""False""","""False""",,"""False""",0,,none,,,20074215,,,"""""",0.0,,,none,0.0,,,,,,none,0,,,none,32.0,,23728314.0,1434746930.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-06-19 20:48:57.309163,,6.0
,,,,2015-07-27 17:38:29.490296,slurm_normal,1438018792.0,0,,1.0,3255371540.0,fasta,main_w2_handler1,2265418,10009035,False,,259778023,gtf,4291319.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-U""]","""False""",0,,none,,,20178036,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24192633.0,1438018724.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-07-27 17:39:58.946508,2893.0,68.0
,,,,2015-07-27 17:45:11.754497,slurm_normal,1438019216.0,0,,1.0,3255371540.0,fasta,main_w1_handler1,2265418,10009133,False,,242752824,gtf,4291380.roundup,slurm,,132112168.0,corral-repl,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""False""","[""-U""]","""False""",0,,none,,,20091509,,,"""""",0.0,,,none,,,,,,,,0,,,none,32.0,,24192633.0,1438019136.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/gffread/gffread/2.2.1.0,2.2.1.0,,2015-07-27 17:46:58.985932,2893.0,80.0
