chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.covg,parameters.dbkey,parameters.freq,parameters.header,parameters.input,parameters.input.values,parameters.nofilt,parameters.stranded,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-10 19:06:19.846889,slurm_normal,1476126982.0,0,,1.0,main_w4_handler0,2849677,14047526,False,,29932,vcf,8265290.roundup,slurm,,132112168.0,corral-repl,,"""94688dd28f1c11e69610005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b53e314b1508150c8e'}]","""false""","""true""",32.0,,33489818.0,1476126978.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2016-10-10 19:16:25.639437,91684.0,4.0
,,2017-01-18 19:05:15.413570,slurm_normal,1484768432.0,0,,1.0,main_w4_handler0,2960296,14803464,False,,29932,vcf,8966924.roundup,slurm,,132112168.0,corral-repl,,"""052707beddb111e69711005056a52a46""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 27983541}]","""false""","""true""",32.0,,,1484768360.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2017-01-18 19:40:36.014676,98361.0,72.0
,,2014-09-29 14:21:53.842375,roundup_single,1412000551.0,0,,1.0,main_w2_handler1,2054194,7894830,False,,176603,vcf,1875269,slurm,,132112264.0,corral-repl,,"""f49aa8a247e311e4aee1005056a51846""","""/galaxy-repl/main/files/008/689/dataset_8689269.dat""","""10""","""v1""","""1.0""","""True""",17085340,,"""True""","""False""",32.0,,17283737.0,1412000550.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2014-09-29 14:22:32.953983,45745.0,1.0
,,2014-09-29 14:25:19.742382,roundup_single,1412000763.0,0,,1.0,main_w1_handler1,2056824,7894850,False,,105472,vcf,1875299,slurm,,132112264.0,corral-repl,,"""6e684c7047e411e480c7005056a52a46""","""/galaxy-repl/main/files/008/689/dataset_8689269.dat""","""10""","""v1""","""1.0""","""True""",17085374,,"""True""","""False""",32.0,,17283737.0,1412000761.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2014-09-29 14:26:04.417232,45745.0,2.0
,,2014-10-06 13:57:25.763619,roundup_single,1412603864.0,0,,1.0,main_w1_handler0,2076746,7935312,False,,92063,vcf,1913546,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""10""","""?""","""1.0""","""True""",17152528,,"""True""","""False""",32.0,,17417239.0,1412603860.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2014-10-06 13:57:44.905487,45745.0,4.0
,,2014-10-06 15:50:46.726207,roundup_single,1412617219.0,0,,1.0,main_w2_handler1,2038273,7935860,False,,75253,vcf,1914505,slurm,,132112068.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""10""","""?""","""1.0""","""True""",17153374,,"""True""","""False""",32.0,,17427572.0,1412617209.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2014-10-06 17:40:22.321701,45745.0,10.0
,,2017-01-03 10:05:25.720841,slurm_normal,1483438300.0,0,,1.0,main_w4_handler0,2944973,14679627,False,,29932,vcf,8849944.roundup,slurm,,132111800.0,corral-repl,,"""21c70976d19c11e6b1e5005056a52a46""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 27797788}]","""false""","""true""",32.0,,,1483438295.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2017-01-03 10:11:42.834749,97583.0,5.0
,,2017-01-03 10:14:16.662217,slurm_normal,1483438742.0,0,,1.0,main_w4_handler0,2944974,14679713,False,,29932,vcf,8850014.roundup,slurm,,132112168.0,corral-repl,,"""5d0ae290d19d11e69278005056a52a46""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 27797917}]","""false""","""true""",32.0,,,1483438736.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2017-01-03 10:19:04.314974,97583.0,6.0
,,2017-03-16 15:17:57.822187,slurm_normal,1489690391.0,0,,1.0,main_w3_handler1,3034416,15314614,False,,29932,vcf,9457481.roundup,slurm,,132112168.0,corral-repl,,"""9e6d72380a5b11e7ae09005056a52a46""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 28789164}]","""false""","""true""",32.0,,,1489690386.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2017-03-16 18:53:17.111564,98128.0,5.0
,,2017-02-15 03:46:32.414590,slurm_normal,1487130768.0,0,,1.0,main_w4_handler1,2996003,15041336,False,,29932,vcf,9197189.roundup,slurm,,132112168.0,corral-repl,,"""4f91e298f33111e681ca005056a51846""","""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""10""","""Homo_sapiens_nuHg19_mtrCRS""","""1.0""","""true""",,"[{'src': 'hda', 'id': 28355583}]","""false""","""true""",32.0,,,1487130764.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/nick/allele_counts/allele_counts_1/1.1,1.1,,2017-02-15 03:52:49.737722,98616.0,4.0
