chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.max_populations,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-06 13:39:18.570273,slurm_normal,1430919643.0,0,,1.0,main_w1_handler1,2246143,9410136,False,,1407,gd_ped,3740384.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/papAnu2.len""","""papAnu2""",19596773,,"""5""",32.0,,22015150,1430919570.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-05-06 13:40:46.551025,61434.0,73.0
,,2015-05-08 18:00:17.738682,slurm_normal,1431108074.0,0,,1.0,main_w1_handler1,2246143,9431332,False,,1334,gd_ped,3758569.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/papAnu2.len""","""papAnu2""",19640989,,"""5""",32.0,,22954156,1431108038.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-05-08 18:01:18.563981,61434.0,36.0
,,2015-05-08 17:39:42.152261,slurm_normal,1431106981.0,0,,1.0,main_w1_handler1,2246143,9431199,False,,1407,gd_ped,3758447.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/papAnu2.len""","""papAnu2""",19596773,,"""5""",32.0,,22954156,1431106803.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-05-08 17:43:06.104798,61434.0,178.0
,,2015-07-19 06:52:44.632138,slurm_normal,1437288803.0,0,,1.0,main_w1_handler2,2372581,9905971,False,,1197,gd_ped,4194539.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20417745,,"""10""",32.0,,24098513,1437288798.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-07-19 06:53:27.549172,,5.0
,,2015-07-25 05:47:57.308159,slurm_normal,1437805105.0,0,,1.0,main_w2_handler0,2372581,9976366,False,,1747,gd_ped,4260409.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20531635,,"""5""",32.0,,24098513,1437803321.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-07-25 06:18:27.787404,,1784.0
,,2015-10-08 06:32:06.173059,slurm_normal,1444285949.0,0,,1.0,main_w1_handler0,2464394,10526040,False,,257017,gd_ped,4800505.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",21438701,,"""10""",32.0,,25564219,1444285943.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-10-08 06:32:32.317906,,6.0
,,2016-02-02 17:25:16.565054,slurm_normal,1454434019.0,0,,1.0,main_w1_handler0,2286633,11683308,False,,4732,gd_ped,5938399.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",23070539,,"""5""",32.0,,28034130,1454433956.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2016-02-02 17:27:08.702317,62914.0,63.0
,,2015-12-25 06:35:50.843259,slurm_normal,1451025450.0,0,,1.0,main_w1_handler2,2547459,11324757,False,,1399,gd_ped,5602234.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22649096,,"""3""",32.0,,26980963,1451025383.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-12-25 06:37:32.677867,,67.0
,,2015-12-25 06:40:06.656945,slurm_normal,1451025801.0,0,,1.0,main_w1_handler1,2547459,11324768,False,,1399,gd_ped,5602245.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22649096,,"""5""",32.0,,26980963,1451025647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-12-25 06:43:24.177022,,154.0
,,2015-12-26 06:58:31.464906,slurm_normal,1451113435.0,0,,1.0,main_w2_handler1,2547459,11328241,False,,1399,gd_ped,5605481.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",22649096,,"""7""",32.0,,26980963,1451113158.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_evaluate_population_numbers/1.0.0,1.0.0,,2015-12-26 07:03:59.332509,,277.0
