create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.basename,parameters.chromInfo,parameters.db,parameters.dbkey,parameters.input.values,parameters.org,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-07-01 12:34:25.358072,slurm_normal,1467377688.0,0,1.0,main_w1_handler0,2754938,13305418,False,,1629449150,bed,7507217.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5cc67721fa70fb98e'}]","""human""",32.0,,31218830,1467376499.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-07-01 12:54:50.280717,86849.0,1189.0
2016-09-14 13:40:58.528819,slurm_normal,1473860500.0,0,1.0,main_w4_handler1,2568797,13849103,False,,226106,bed,8072092.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5eb8ce7dce26187e9'}]","""human""",32.0,,32794785,1473860470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-09-14 13:41:42.745694,18687.0,30.0
2016-09-22 16:02:17.076064,slurm_normal,1474560261.0,0,1.0,main_w3_handler0,2799332,13918205,False,,2309433,bed,8140511.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5a1ed7e940bbdefee'}]","""human""",32.0,,32746960,1474560187.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-09-22 16:04:31.642966,88883.0,74.0
2016-09-29 14:42:06.030084,slurm_normal,1475160297.0,0,1.0,main_w4_handler1,2568797,13974683,False,,229074,bed,8193982.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b596967975f7a15fa8'}]","""human""",32.0,,33327022,1475160285.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-09-29 14:45:10.119168,18687.0,12.0
2017-01-11 14:42:02.076135,slurm_normal,1484145733.0,0,1.0,main_w4_handler1,2952948,14740427,False,,232626,bed,8905333.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""","[{'src': 'hda', 'id': 27891577}]","""human""",32.0,,35319039,1484145728.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2017-01-11 14:42:16.245747,97930.0,5.0
2016-09-07 13:46:47.439856,slurm_normal,1473256035.0,0,1.0,main_w3_handler0,2809018,13798167,False,,12140,bed,8018701.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/main/files/013/967/dataset_13967963.dat""","""dm3""","""dm6""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5cd75af6217489c4e'}]","""drosophila""",32.0,,32318248,1473256030.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-09-07 13:47:20.379850,59928.0,5.0
2016-10-04 10:42:12.022224,slurm_normal,1475577939.0,0,1.0,main_w4_handler1,2813862,14003452,False,,7269,bed,8222254.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""hg19""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5b0279a9dfd79b6d2'}]","""arabidopsis thalina""",32.0,,33288432,1475577924.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-10-04 10:45:41.084763,14581.0,15.0
2016-10-07 04:29:40.683497,slurm_normal,1475814627.0,0,1.0,main_w4_handler1,2846125,14026160,False,,401560,bed,8244145.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""","[{'src': 'hda', 'id': 'bbd44e69cb8906b596498b1b8ef03c56'}]","""human""",32.0,,33514003,1475814623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-10-07 04:30:34.180939,14835.0,4.0
2016-11-07 04:59:11.588615,slurm_normal,1478494928.0,0,1.0,main_w4_handler1,2877846,14268874,False,,286170282,bed,8477451.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""mm9""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57d72279d2aa3092e'}]","""mouse""",32.0,,34037876,1478494755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-11-07 05:02:10.854741,,173.0
2016-11-04 20:26:15.836457,slurm_normal,1478292226.0,0,1.0,main_w4_handler1,2881673,14256237,False,,171305,bed,8464793.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5dd0fa9d4ada89488'}]","""human""",32.0,,34094627,1478292210.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.24.0,2.24.0,,2016-11-04 20:43:55.644040,93861.0,16.0
