create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.g_col2,parameters.input1,parameters.input2,parameters.stat,parameters.t_col1,parameters.t_col2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-22 14:01:40.469094,rodeo_normal,1427032918.0,0,1.0,main_w1_handler0,2245203,9006617,False,,653.0,tabular,1685415,tabular,3276095.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",18949787,18949642,"""fisher""","""3""","""1""",32.0,,21951661.0,1427032910.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-03-22 14:01:59.131651,,8.0
2015-04-08 04:10:16.555463,slurm_normal,1428466236.0,0,1.0,main_w2_handler1,2186621,9168126,False,,1180543.0,bed,765675,bed,3447900.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",19186828,18515065,"""fisher""","""1""","""1""",32.0,,20738668.0,1428466232.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-04-08 04:10:39.959283,58857.0,4.0
2015-04-11 16:15:30.766817,slurm_normal,1428768952.0,0,1.0,main_w2_handler1,2242739,9201873,False,,13005.0,tabular,99555525,gtf,3484386.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",19198682,18924517,"""fisher""","""1""","""1""",32.0,,22395693.0,1428768944.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-04-11 16:15:55.835857,58691.0,8.0
2015-04-14 22:12:48.051624,slurm_normal,1429049671.0,0,1.0,main_w2_handler0,2100231,9232516,False,,11675156035.0,sam,3718324,gtf,3513683.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/178.len""","""178""","""1""",19288314,19290236,"""fisher""","""1""","""1""",32.0,,22463708.0,1429049582.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-04-14 22:14:33.834541,30192.0,89.0
2015-04-20 05:00:10.324963,slurm_normal,1429506027.0,0,1.0,main_w1_handler0,2275357,9269839,False,,11765.0,tabular,11765,tabular,3564713.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",19369733,19369733,"""fisher""","""1""","""1""",32.0,,22589435.0,1429506023.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-04-20 05:00:30.026869,,4.0
2015-05-14 20:02:46.539790,slurm_normal,1431633800.0,0,1.0,main_w1_handler1,2254323,9474512,False,,19862.0,tabular,68438281,gtf,3798576.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""2""",19451873,19437144,"""fisher""","""1""","""1""",32.0,,23084448.0,1431633794.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-05-14 20:03:22.263248,60145.0,6.0
2015-05-29 12:57:08.537880,slurm_normal,1432904250.0,0,1.0,main_w1_handler0,2254323,9561809,False,,1654786.0,tabular,1654786,tabular,3875320.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""3""",19845230,19845230,"""fisher""","""1""","""2""",32.0,,23267586.0,1432904242.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-05-29 12:57:32.816703,60145.0,8.0
2015-07-20 16:01:10.162945,slurm_normal,1437408111.0,0,1.0,main_w1_handler2,2375595,9917703,False,,797714.0,bed,24367,interval,4205589.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",20350023,20350128,"""fisher""","""1""","""1""",32.0,,24136423.0,1437408104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-07-20 16:01:53.966412,66134.0,7.0
2015-08-28 07:42:06.202544,slurm_normal,1440747754.0,0,1.0,main_w1_handler2,2375595,10214945,False,,23174.0,bed,23174,bed,4485253.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""1""",20475746,20475746,"""fisher""","""1""","""1""",32.0,,24136423.0,1440747747.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-08-28 07:42:35.833053,66134.0,7.0
2015-09-24 17:00:30.018213,slurm_normal,1443114199.0,0,1.0,main_w2_handler1,2312422,10410837,False,,114239960.0,gff3,114239960,gff3,4689371.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","""1""",21168143,21168143,"""fisher""","""1""","""1""",32.0,,25320744.0,1443114120.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_rank_terms/1.1.0,1.1.0,,2015-09-24 17:03:25.247612,63749.0,79.0
