chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.populations,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
7681351.0,len,2018-03-05 19:50:15.639817,slurm_normal,1520279429.0,0.0,7680.0,1.0,main_w3_handler1,3133745,18614661,False,,2428,gd_ped,12710463,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/main/files/023/391/dataset_23391037.dat""","""?""",,"[{'src': 'hda', 'id': 34223779}]","""3""",32.0,,43522297,1520279425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2018-03-05 19:50:32.301819,95237.0,4.0
,,2018-01-19 00:30:04.808085,slurm_normal,1516321995.0,0.0,,1.0,main_w4_handler1,3397418,18079070,False,,1203,gd_ped,12157273,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",,"[{'src': 'hda', 'id': 33380219}]","""4""",32.0,,43295517,1516321813.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2018-01-19 00:33:17.470246,,182.0
,,2015-03-19 03:59:13.275324,rodeo_normal,1426737571.0,0.0,,1.0,main_w1_handler1,1807247,8984614,False,,1559,gd_ped,3234077.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18909734,,"""5""",32.0,,21895657,1426737566.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-19 03:59:32.983359,45295.0,5.0
,,2015-03-30 21:15:48.784882,rodeo_normal,1427750218.0,0.0,,1.0,main_w2_handler1,2254519,9093829,False,,1325,gd_ped,3378216.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19072452,,"""3""",32.0,,21564345,1427750169.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-30 21:17:01.663050,60277.0,49.0
,,2015-03-30 21:15:12.580021,rodeo_normal,1427750191.0,0.0,,1.0,main_w1_handler0,2254519,9093818,False,,1325,gd_ped,3378196.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19072452,,"""5""",32.0,,21564345,1427750134.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-30 21:16:36.586672,60277.0,57.0
,,2015-03-30 21:15:04.428932,rodeo_normal,1427750162.0,0.0,,1.0,main_w2_handler0,2254519,9093815,False,,1325,gd_ped,3378190.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19072452,,"""4""",32.0,,21564345,1427750122.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-30 21:16:17.628423,60277.0,40.0
,,2015-03-31 21:15:07.990597,rodeo_normal,1427836725.0,0.0,,1.0,main_w1_handler0,2255938,9106744,False,,1408,gd_ped,3392046.roundup,slurm,,132112168.0,corral-repl,,"""f5ecb00ad7ea11e4b3e0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19093076,,"""2""",32.0,,21564345,1427836687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-31 21:18:51.510393,60277.0,38.0
,,2015-03-31 21:15:11.948607,rodeo_normal,1427836820.0,0.0,,1.0,main_w1_handler1,2255938,9106745,False,,1408,gd_ped,3392045.roundup,slurm,,132112168.0,corral-repl,,"""f5ecb00ad7ea11e4b3e0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19093076,,"""3""",32.0,,21564345,1427836687.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-03-31 21:20:25.257106,60277.0,133.0
,,2015-04-02 16:47:52.326810,slurm_normal,1427993390.0,0.0,,1.0,main_w1_handler0,2258199,9125939,False,,1382,gd_ped,3410698.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19125655,,"""5""",32.0,,21564345,1427993290.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-04-02 16:49:54.341967,60277.0,100.0
,,2015-04-02 16:47:11.669750,slurm_normal,1427993354.0,0.0,,1.0,main_w1_handler0,2258199,9125931,False,,1382,gd_ped,3410692.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19125655,,"""4""",32.0,,21564345,1427993251.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_population_structure/1.0.0,1.0.0,,2015-04-02 16:49:17.987955,60277.0,103.0
