create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.basename,parameters.chromInfo,parameters.db,parameters.dbkey,parameters.input,parameters.input.values,parameters.org,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-03-04 22:30:37.155948,slurm_normal,1488666643.0,0,1.0,main_w3_handler0,2925662,15209092,False,,34777,bed,9358756.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""mm9""","""?""",,"[{'src': 'hda', 'id': 28619545}]","""mouse""",32.0,,34781030,1488666639.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2017-03-04 22:30:45.119390,96691.0,4.0
2015-12-21 18:52:27.222539,slurm_normal,1450724186.0,0,1.0,main_w1_handler0,2126184,11294120,False,,207396,bed,5569830.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""",22606671,,"""human""",32.0,,26522801,1450724103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2015-12-21 18:56:34.256523,2888.0,83.0
2016-01-19 12:15:39.562301,slurm_normal,1453205841.0,0,1.0,main_w1_handler2,2568869,11542929,False,,54878,bed,5809714.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/mm10.len""","""""","""mm10""",22952246,,"""mouse""",32.0,,27519143,1453205835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-01-19 12:17:26.133520,,6.0
2016-01-22 22:40:52.285524,slurm_normal,1453502493.0,0,1.0,main_w1_handler1,1372215,11583967,False,,419278,bed,5849566.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""",23012602,,"""human""",32.0,,27477696,1453502482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-01-22 22:41:37.965524,32813.0,11.0
2016-02-10 14:00:26.667786,slurm_normal,1455112853.0,0,1.0,main_w1_handler1,2537744,11777368,False,,951514,bed,6029841.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""hg19""","""?""",23275420,,"""human""",32.0,,28261865,1455112848.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-02-10 14:00:56.567591,75310.0,5.0
2016-02-14 11:13:17.982137,slurm_normal,1455448432.0,0,1.0,main_w2_handler0,2537744,11819971,False,,951514,bed,6069383.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg38.len""","""hg19""","""hg38""",23275420,,"""human""",32.0,,28372541,1455448428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-02-14 11:13:54.887731,75310.0,4.0
2016-03-15 05:03:43.965764,slurm_normal,1458018253.0,0,1.0,main_w1_handler2,2633892,12136791,False,,5016,bed,6354799.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""",23841173,,"""human""",32.0,,28996607,1458018249.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-03-15 05:04:15.155465,,4.0
2016-05-17 11:19:48.728305,slurm_normal,1463484044.0,0,1.0,main_w1_handler0,2707710,12917102,False,,11956,bedstrict,7111884.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b579ccba024fdcc7f4'}]","""human""",32.0,,29445865,1463484041.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-05-17 11:20:46.705103,81993.0,3.0
2016-07-15 14:35:41.669283,slurm_normal,1468593382.0,0,1.0,main_w1_handler0,2745836,13420027,False,,26743,bed,7632733.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/?.len""","""dm3""","""?""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b529061057405b8d68'}]","""fruitfly""",32.0,,30826570,1468593379.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-07-15 14:36:24.425371,64016.0,3.0
2016-09-30 14:31:58.138385,slurm_normal,1475246106.0,0,1.0,main_w4_handler0,2568797,13982880,False,,227237,bed,8202286.roundup,slurm,,132112168.0,corral-repl,,"""http://genome.ucsc.edu""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""hg19""",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b592b31ec498c14562'}]","""human""",32.0,,33327022,1475246016.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_links/2.22.0,2.22.0,,2016-09-30 14:35:08.245178,18687.0,90.0
