create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.col,parameters.dbkey,parameters.legend.__current_case__,parameters.legend.leg_pos,parameters.legend.leg_title,parameters.legend.status,parameters.lty,parameters.lwd,parameters.main,parameters.series,parameters.xlab,parameters.ylab,processor_count,runner_name,series_0|input,series_0|input_filetype,series_1|input,series_1|input_filetype,series_2|input,series_2|input_filetype,series_3|input,series_3|input_filetype,series_4|input,series_4|input_filetype,series_5|input,series_5|input_filetype,series_6|input,series_6|input_filetype,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-08-01 22:44:56.183020,slurm_normal,1501627510.0,0,1.0,main_w4_handler0,2840571,16482243,False,,10551177.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""5.0""","""""","[{""fpch"": ""1"", ""leg_text"": ""10e4 LVV TU"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 26693666}]}, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""6"", ""fcex"": ""0.5""}, {""fpch"": ""1"", ""leg_text"": ""Random"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 27970297}]}, ""__index__"": 1, ""chrcolumn"": ""1"", ""fcol"": ""3"", ""fcex"": ""0.1""}, {""fpch"": ""1"", ""leg_text"": ""heterochromatic regions"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 30719285}]}, ""__index__"": 2, ""chrcolumn"": ""1"", ""fcol"": ""7"", ""fcex"": ""0.1""}]","""chromosomes""","""Chromosome length (bp)""",32.0,,197838,tabular,196922.0,interval,1451.0,bed,,,,,,,,,39648947,1501627503.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2017-08-01 22:45:13.328094,48605.0,7.0
2017-08-01 22:46:41.200063,slurm_normal,1501627620.0,0,1.0,main_w3_handler1,2840571,16482278,False,,10551189.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""5.0""","""""","[{""fpch"": ""1"", ""leg_text"": ""10e4 LVV TU"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 26693666}]}, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""6"", ""fcex"": ""0.5""}, {""fpch"": ""1"", ""leg_text"": ""Random"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 27970297}]}, ""__index__"": 1, ""chrcolumn"": ""1"", ""fcol"": ""3"", ""fcex"": ""0.1""}, {""fpch"": ""16"", ""leg_text"": ""heterochromatic regions"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 30719285}]}, ""__index__"": 2, ""chrcolumn"": ""1"", ""fcol"": ""7"", ""fcex"": ""5.0""}]","""chromosomes""","""Chromosome length (bp)""",32.0,,197838,tabular,196922.0,interval,1451.0,bed,,,,,,,,,39648947,1501627611.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2017-08-01 22:47:02.086775,48605.0,9.0
2017-08-01 22:48:32.319139,slurm_normal,1501627732.0,0,1.0,main_w4_handler0,2840571,16482286,False,,10551197.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""5.0""","""""","[{""fpch"": ""1"", ""leg_text"": ""10e4 LVV TU"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 26693666}]}, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""6"", ""fcex"": ""0.5""}, {""fpch"": ""1"", ""leg_text"": ""Random"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 27970297}]}, ""__index__"": 1, ""chrcolumn"": ""1"", ""fcol"": ""3"", ""fcex"": ""0.1""}, {""fpch"": ""16"", ""leg_text"": ""heterochromatic regions"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 30719285}]}, ""__index__"": 2, ""chrcolumn"": ""1"", ""fcol"": ""7"", ""fcex"": ""1.0""}]","""chromosomes""","""Chromosome length (bp)""",32.0,,197838,tabular,196922.0,interval,1451.0,bed,,,,,,,,,39648947,1501627726.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2017-08-01 22:48:56.612245,48605.0,6.0
2017-08-01 22:51:12.832383,slurm_normal,1501627890.0,0,1.0,main_w3_handler0,2840571,16482298,False,,10551211.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""8""","""hg19""",0,top,,yes,"""1""","""5.0""","""""","[{""fpch"": ""1"", ""leg_text"": ""10e4 LVV TU"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 26693666}]}, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""6"", ""fcex"": ""0.5""}, {""fpch"": ""1"", ""leg_text"": ""Random"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 27970297}]}, ""__index__"": 1, ""chrcolumn"": ""1"", ""fcol"": ""3"", ""fcex"": ""0.1""}, {""fpch"": ""16"", ""leg_text"": ""heterochromatic regions"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 30719285}]}, ""__index__"": 2, ""chrcolumn"": ""1"", ""fcol"": ""7"", ""fcex"": ""1.0""}]","""chromosomes""","""Chromosome length (bp)""",32.0,,197838,tabular,196922.0,interval,1451.0,bed,,,,,,,,,39648947,1501627883.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2017-08-01 22:51:32.346765,48605.0,7.0
2017-08-01 22:52:16.903799,slurm_normal,1501627952.0,0,1.0,main_w3_handler1,2840571,16482302,False,,10551213.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""8""","""hg19""",0,top,,yes,"""1""","""10.0""","""""","[{""fpch"": ""1"", ""leg_text"": ""10e4 LVV TU"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 26693666}]}, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""6"", ""fcex"": ""0.5""}, {""fpch"": ""1"", ""leg_text"": ""Random"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 27970297}]}, ""__index__"": 1, ""chrcolumn"": ""1"", ""fcol"": ""3"", ""fcex"": ""0.1""}, {""fpch"": ""16"", ""leg_text"": ""heterochromatic regions"", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": {""values"": [{""src"": ""hda"", ""id"": 30719285}]}, ""__index__"": 2, ""chrcolumn"": ""1"", ""fcol"": ""7"", ""fcex"": ""1.0""}]","""chromosomes""","""Chromosome length (bp)""",32.0,,197838,tabular,196922.0,interval,1451.0,bed,,,,,,,,,39648947,1501627946.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2017-08-01 22:52:34.613234,48605.0,6.0
2015-04-15 09:40:41.228085,slurm_normal,1429090859.0,0,1.0,main_w1_handler1,2267770,9235236,False,,3516497.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",1,,,no,"""1""","""2.0""","""barcoded RRL EEW Integration sites in 293HM5""","[{""fpch"": ""1"", ""leg_text"": """", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": 19294344, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""2"", ""fcex"": ""1.0""}]","""chromosomes""","""locations""",32.0,,11903,bedgraph,,,,,,,,,,,,,21747534,1429090856.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2015-04-15 09:41:03.880176,48605.0,3.0
2015-04-15 09:38:19.440732,slurm_normal,1429090718.0,0,1.0,main_w2_handler1,2267770,9235230,False,,3516490.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",1,,,no,"""1""","""1.0""","""""","[{""fpch"": ""1"", ""leg_text"": """", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": 19294344, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""1"", ""fcex"": ""1.0""}]","""""","""""",32.0,,11903,bedgraph,,,,,,,,,,,,,21747534,1429090713.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2015-04-15 09:38:41.545557,48605.0,5.0
2015-04-29 12:16:55.098563,slurm_normal,1430309846.0,0,1.0,main_w1_handler0,2276790,9359219,False,,3695906.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""1.0""","""""","[{""fpch"": ""1"", ""leg_text"": """", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": 19510302, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""2"", ""fcex"": ""1.0""}]","""""","""""",32.0,,3556,bed,,,,,,,,,,,,,21747534,1430309835.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2015-04-29 12:17:32.321904,48605.0,11.0
2015-04-29 12:16:59.919371,slurm_normal,1430309864.0,0,1.0,main_w1_handler1,2276790,9359222,False,,3695911.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""1.0""","""""","[{""fpch"": ""1"", ""leg_text"": """", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": 19510304, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""2"", ""fcex"": ""1.0""}]","""""","""""",32.0,,1976,bed,,,,,,,,,,,,,21747534,1430309861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2015-04-29 12:17:46.577034,48605.0,3.0
2015-04-29 12:16:56.877920,slurm_normal,1430309844.0,0,1.0,main_w1_handler1,2276790,9359221,False,,3695907.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""1""","""hg19""",0,top,,yes,"""1""","""1.0""","""""","[{""fpch"": ""1"", ""leg_text"": """", ""startcolumn"": ""2"", ""endcolumn"": ""3"", ""input"": 19510303, ""__index__"": 0, ""chrcolumn"": ""1"", ""fcol"": ""2"", ""fcex"": ""1.0""}]","""""","""""",32.0,,3366,bed,,,,,,,,,,,,,21747534,1430309836.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/guru-ananda/karyotype_plot/karyotype_Plot_1/1.0.0,1.0.0,,2015-04-29 12:17:28.304336,48605.0,8.0
