chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.find_pattern,parameters.infile,parameters.infile.values,parameters.infile|__identifier__,parameters.replace_pattern,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-11 08:12:39.249200,slurm_normal,1507709571.0,0,1.0,main_w4_handler0,3260253,17076159,False,236422199,fasta,,11131802.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",""";""",,"[{'src': 'hda', 'id': 31644243}]",,"""""",32.0,,39786308.0,1507709567.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-11 08:12:54.012236,75878.0,4.0
,,2017-10-11 08:12:38.306718,slurm_normal,1507709571.0,0,1.0,main_w4_handler0,3260253,17076157,False,236422199,fasta,,11131800.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",""";""",,"[{'src': 'hda', 'id': 31644241}]",,"""""",32.0,,39786308.0,1507709564.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-11 08:12:53.641899,75878.0,7.0
,,2017-10-11 08:12:39.077222,slurm_normal,1507709569.0,0,1.0,main_w4_handler0,3260253,17076158,False,236422199,fasta,,11131801.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",""";""",,"[{'src': 'hda', 'id': 31644242}]",,"""""",32.0,,39786308.0,1507709564.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-11 08:12:50.411908,75878.0,5.0
,,2017-10-11 19:32:17.041166,reserved_normal,1507750362.0,0,1.0,main_w3_handler0,3283691,17081651,False,4264567,gff3,,11137435.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/PbANKA_v29.len""","""PbANKA_v29""","""_archived_contig_[0-9]+\\t""",,"[{'src': 'hda', 'id': 31654790}]",,"""\\t""",32.0,,40570174.0,1507750356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-11 19:32:54.990031,5254.0,6.0
,,2017-10-12 15:48:38.862755,slurm_normal,1507823330.0,0,1.0,main_w3_handler0,3280603,17088581,False,702335,tabular,,11144661.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2[RL]""",,"[{'src': 'hda', 'id': 31665954}]",,"""chr2""",32.0,,41168070.0,1507823322.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:48:52.830426,,8.0
,,2017-10-12 15:48:01.553279,slurm_normal,1507823304.0,0,1.0,main_w3_handler1,3284982,17088568,False,702335,tabular,,11144657.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2[RL]""",,"[{'src': 'hda', 'id': 31665963}]",,"""chr2""",32.0,,41246271.0,1507823294.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:48:30.948729,,10.0
,,2017-10-12 15:48:40.428903,slurm_normal,1507823333.0,0,1.0,main_w4_handler0,3284993,17088583,False,702335,tabular,,11144666.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2[RL]""",,"[{'src': 'hda', 'id': 31665953}]",,"""chr2""",32.0,,41246415.0,1507823329.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:49:03.392567,,4.0
,,2017-10-12 15:48:30.636645,slurm_normal,1507823332.0,0,1.0,main_w4_handler1,3284991,17088576,False,779,tabular,,11144664.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2(RL)""",,"[{'src': 'hda', 'id': 31665722}]",,"""chr2""",32.0,,41246414.0,1507823328.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:49:04.773350,,4.0
,,2017-10-12 15:48:52.870650,slurm_normal,1507823349.0,0,1.0,main_w3_handler0,3284988,17088591,False,702335,tabular,,11144671.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2[RL]""",,"[{'src': 'hda', 'id': 31665952}]",,"""chr2""",32.0,,41246409.0,1507823338.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:49:13.756893,,11.0
,,2017-10-12 15:48:54.652709,slurm_normal,1507823351.0,0,1.0,main_w3_handler1,3284990,17088592,False,702335,tabular,,11144673.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/dm6.len""","""dm6""","""chr2[RL]""",,"[{'src': 'hda', 'id': 31665957}]",,"""chr2""",32.0,,41246410.0,1507823347.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/text_processing/tp_replace_in_line/1.0.0,1.0.0,,2017-10-12 15:49:15.213838,,4.0
