chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.input|__identifier__,parameters.max,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-05-01 01:45:50.774166,slurm_normal,1430444867.0,0.0,1.0,main_w2_handler1,2279084,9372689,False,,23515071,bam,3708492.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19530919,,,"""""",32.0,,22812884.0,1430444830.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-05-01 01:47:51.505201,62685.0,37.0
,,2015-05-01 16:31:58.168433,slurm_normal,1430497970.0,0.0,1.0,main_w2_handler0,2269119,9375644,False,,25277,bed,3711467.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",19536246,,,"""""",32.0,,22745084.0,1430497934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-05-01 16:32:56.015896,58833.0,36.0
,,2015-05-15 14:37:34.704059,slurm_normal,1432929989.0,0.0,1.0,main_w1_handler0,2307434,9478991,False,,576177,bam,3877949.roundup,slurm,,132112168.0,corral-repl,,"""e6313f76fb0f11e48517005056a51846""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19722258,,,"""""",32.0,,22015193.0,1432929934.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-05-29 20:06:36.530892,41292.0,55.0
,,2015-05-14 15:14:29.114466,slurm_normal,1431962337.0,0.0,1.0,main_w1_handler1,2306095,9472643,False,,129062,bam,3810890.roundup,slurm,,132112168.0,corral-repl,,"""e46b0222fa4b11e49b63005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""","""?""",19709410,,,"""""",32.0,,22015193.0,1431962325.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-05-18 15:19:04.145201,41292.0,12.0
,,2015-06-24 19:09:55.974066,slurm_normal,1435173089.0,0.0,1.0,main_w1_handler0,2269119,9726329,False,,16272,bed,4032556,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",20121903,,,"""""",32.0,,23390569.0,1435173055.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 19:12:04.698392,58833.0,34.0
,,2015-06-24 19:08:10.621052,slurm_normal,1435172977.0,0.0,1.0,main_w1_handler1,2269119,9726322,False,,222729,bed,4032537,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",20121843,,,"""""",32.0,,23390569.0,1435172936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 19:10:49.907718,58833.0,41.0
,,2015-06-24 18:54:13.667642,slurm_normal,1435172132.0,0.0,1.0,main_w2_handler0,2269119,9726242,False,,100963,bed,4032425,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",19541416,,,"""""",32.0,,23390569.0,1435172108.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 18:55:36.636116,58833.0,24.0
,,2015-06-24 19:15:37.625867,slurm_normal,1435173453.0,0.0,1.0,main_w2_handler1,2269119,9726353,False,,247000,bed,4032602,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",20121990,,,"""""",32.0,,23390569.0,1435173413.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 19:17:35.231854,58833.0,40.0
,,2015-06-24 19:09:21.374741,slurm_normal,1435173069.0,0.0,1.0,main_w1_handler1,2269119,9726326,False,,241825,bed,4032557,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",20121852,,,"""""",32.0,,23390569.0,1435173049.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 19:13:52.097057,58833.0,20.0
,,2015-06-24 18:52:09.133443,slurm_normal,1435172039.0,0.0,1.0,main_w1_handler0,2269119,9726236,False,,29684,bed,4032413,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",19541415,,,"""""",32.0,,23390569.0,1435172018.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_histogram/0.1.0,0.1.0,,2015-06-24 18:54:38.973494,58833.0,21.0
