chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.build,parameters.build.__class__,parameters.build.value,parameters.chromInfo,parameters.dbkey,parameters.term,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2018-01-05 13:53:44.213165,slurm_normal,1515160432.0,0,,1.0,main_w3_handler1,3120439,17954435,False,,12030914,slurm,,132112168.0,corral-repl,,,"""hg18""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""schizophrenia""",32.0,,42963771,1515160428.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2018-01-05 13:53:53.349911,106341.0,4.0
,,2018-03-05 13:13:06.633436,slurm_normal,1520255596.0,0,7680.0,1.0,main_w3_handler0,3387981,18610012,False,,12705439,slurm,,132112168.0,corral-repl,,,"""hg19""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""cancer""",32.0,,43121260,1520255594.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2018-03-05 13:13:20.211231,,2.0
,,2017-10-30 09:34:08.154500,slurm_normal,1509356074.0,0,,1.0,main_w4_handler1,3304239,17262673,False,,11321567,slurm,,132112168.0,corral-repl,,,"""hg19""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""spastic""",32.0,,41615895,1509356070.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2017-10-30 09:34:39.254620,,4.0
,,2017-11-01 16:31:19.350297,slurm_normal,1509553909.0,0,,1.0,main_w3_handler1,3307215,17287317,False,,11349050,slurm,,132112168.0,corral-repl,,,"""hg19""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""infection""",32.0,,41673920,1509553904.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2017-11-01 16:31:55.180405,,5.0
,,2018-03-06 14:26:53.316852,slurm_normal,1520346427.0,0,7680.0,1.0,main_w3_handler1,3086198,18624306,False,,12720614,slurm,,132112168.0,corral-repl,,,"""hg19""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""ALS""",32.0,,44114370,1520346424.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2018-03-06 14:27:09.236232,43474.0,3.0
,,2017-11-21 11:37:02.354135,slurm_normal,1511264230.0,0,,1.0,main_w3_handler1,3333635,17533568,False,,11592925,slurm,,132112168.0,corral-repl,,,"""hg18""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""hydrop fetal""",32.0,,42145061,1511264225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2017-11-21 11:37:14.121256,,5.0
,,2017-11-21 11:39:12.750296,slurm_normal,1511264361.0,0,,1.0,main_w3_handler1,3333635,17533595,False,,11592938,slurm,,132112168.0,corral-repl,,,"""hg19""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""congenital dyserytropietic amemia""",32.0,,42145061,1511264356.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2017-11-21 11:39:23.434955,,5.0
,,2018-01-12 21:40:52.970520,slurm_normal,1515793261.0,0,,1.0,main_w3_handler1,3390844,18022670,False,,12099819,slurm,,132112168.0,corral-repl,,,"""hg18""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""CANCER""",32.0,,43172226,1515793257.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2018-01-12 21:41:03.489701,,4.0
,,2017-12-05 11:46:18.652667,slurm_normal,1512474388.0,0,,1.0,main_w3_handler0,1650504,17701134,False,,11765819,slurm,,132112168.0,corral-repl,,,"""hg18""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""epilepsy""",32.0,,42468525,1512474384.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2017-12-05 11:46:30.084402,24820.0,4.0
,,2018-01-27 21:27:47.454218,slurm_normal,1517088478.0,0,,1.0,main_w4_handler1,3325065,18176902,False,,12258579,slurm,,132112168.0,corral-repl,,,"""hg18""",,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","""""",32.0,,41991431,1517088473.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/hgv_fundo/hgv_funDo/1.0.0,1.0.0,,2018-01-27 21:28:00.249989,108331.0,5.0
