alignment,alignment_filetype,anno|reference_gene_sets,anno|reference_gene_sets_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,extended_parameters|genome,extended_parameters|genome_filetype,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.alignment.values,parameters.alignment|__identifier__,parameters.anno.__current_case__,parameters.anno.anno_select,parameters.anno.genome,parameters.anno.gtf_source.__current_case__,parameters.anno.gtf_source.ref_source,parameters.anno.gtf_source.reference_gene_sets.values,parameters.chromInfo,parameters.dbkey,parameters.extended_parameters.by_read_group,parameters.extended_parameters.contribute_to_multiple_features,parameters.extended_parameters.count_split_alignments_only,parameters.extended_parameters.exon_exon_junction_read_counting_enabled.__current_case__,parameters.extended_parameters.exon_exon_junction_read_counting_enabled.count_exon_exon_junction_reads,parameters.extended_parameters.exon_exon_junction_read_counting_enabled.genome.values,parameters.extended_parameters.frac_overlap,parameters.extended_parameters.frac_overlap_feature,parameters.extended_parameters.gff_feature_attribute,parameters.extended_parameters.gff_feature_type,parameters.extended_parameters.ignore_dup,parameters.extended_parameters.largest_overlap,parameters.extended_parameters.long_reads,parameters.extended_parameters.mapping_quality,parameters.extended_parameters.min_overlap,parameters.extended_parameters.multimapping_enabled.__current_case__,parameters.extended_parameters.multimapping_enabled.fraction,parameters.extended_parameters.multimapping_enabled.multimapping_counts,parameters.extended_parameters.primary,parameters.extended_parameters.read_extension_3p,parameters.extended_parameters.read_extension_5p,parameters.extended_parameters.read_reduction,parameters.extended_parameters.strand_specificity,parameters.extended_parameters.summarization_level,parameters.format,parameters.include_feature_length_file,parameters.pe_parameters.exclude_chimerics,parameters.pe_parameters.fragment_counting_enabled.__current_case__,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.__current_case__,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.check_distance,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.maximum_fragment_length,parameters.pe_parameters.fragment_counting_enabled.check_distance_enabled.minimum_fragment_length,parameters.pe_parameters.fragment_counting_enabled.fragment_counting,parameters.pe_parameters.only_both_ends,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
1626987776,bam,,,,,2018-03-02 08:29:00.294490,slurm_normal,1519979488.0,0,,,7680.0,1.0,main_w4_handler1,3444463,18577482,False,,12671897,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34163802}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""false""",true,1,,,,,,false,32.0,,44212204.0,1519979380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 08:31:31.258203,122910.0,108.0
1825607131,bam,,,,,2018-03-02 08:29:01.057908,slurm_normal,1519979506.0,0,,,7680.0,1.0,main_w4_handler1,3444463,18577483,False,,12671896,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34163813}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""false""",true,1,,,,,,false,32.0,,44212204.0,1519979380.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 08:31:48.323653,122910.0,126.0
79613466,bam,,,,,2018-03-02 10:48:20.997887,slurm_normal,1519987743.0,0,,,7680.0,1.0,main_w4_handler0,3449137,18578766,False,,12673292,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165950}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987734.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:49:05.620863,107319.0,9.0
227459191,bam,,,,,2018-03-02 10:48:23.195906,slurm_normal,1519987751.0,0,,,7680.0,1.0,main_w3_handler0,3449137,18578768,False,,12673289,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165952}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987732.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:49:14.004467,107319.0,19.0
169490935,bam,,,,,2018-03-02 10:48:21.983268,slurm_normal,1519987754.0,0,,,7680.0,1.0,main_w4_handler0,3449137,18578767,False,,12673294,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165951}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987739.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:49:16.354100,107319.0,15.0
545099497,bam,,,,,2018-03-02 10:48:19.960386,slurm_normal,1519987765.0,0,,,7680.0,1.0,main_w4_handler1,3449137,18578765,False,,12673290,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165947}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:49:27.480309,107319.0,32.0
175238982,bam,,,,,2018-03-02 10:48:18.260796,slurm_normal,1519987722.0,0,,,7680.0,1.0,main_w3_handler1,3449137,18578763,False,,12673285,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165944}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:48:45.593379,107319.0,15.0
207406023,bam,,,,,2018-03-02 10:48:19.082507,slurm_normal,1519987727.0,0,,,7680.0,1.0,main_w4_handler0,3449137,18578764,False,,12673286,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165945}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:48:49.602105,107319.0,17.0
279793663,bam,,,,,2018-03-02 10:48:17.090753,slurm_normal,1519987730.0,0,,,7680.0,1.0,main_w4_handler1,3449137,18578762,False,,12673287,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165943}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987710.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:48:53.737620,107319.0,20.0
355023565,bam,,,,,2018-03-02 10:48:16.322472,slurm_normal,1519987732.0,0,,,7680.0,1.0,main_w3_handler1,3449137,18578761,False,,12673284,slurm,,132112168.0,corral-repl,,,"[{'src': 'hda', 'id': 34165942}]",,0,builtin,hg38,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",false,false,false,1,false,,0,0,gene_id,exon,false,false,false,12,1,1,,,false,0,0,,0,false,"""tabdel_short_noheader""","""true""",true,1,,,,,,true,32.0,,44284264.0,1519987707.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/featurecounts/featurecounts/1.6.0.2,1.6.0.2,,2018-03-02 10:48:54.512588,107319.0,25.0
