chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1.values,parameters.input1|__identifier__,parameters.input2.values,parameters.input2|__identifier__,parameters.tag_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-10-21 08:59:34.508076,slurm_normal,1477042553.0,0,,1.0,main_w3_handler0,2863185,14137751,False,,29797352,vcf,12729177658,vcf,8351328.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5d62d8ae2d55d2bf5'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51327011354a5e838'}]",,"""added-genotypes""",32.0,,33492556.0,1477040391.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-21 09:35:55.734767,90340.0,2162.0
,,2017-06-22 12:17:29.172387,slurm_normal,1498133869.0,0,,1.0,main_w4_handler1,3126828,16163614,False,,59073,vcf,35515,vcf,10241274.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30125962}]",,"[{'src': 'hda', 'id': 30125976}]",,"""added-genotypes""",32.0,,38810815.0,1498133865.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-06-22 12:17:52.392017,47785.0,4.0
,,2017-06-22 12:06:08.133066,slurm_normal,1498133188.0,0,,1.0,main_w4_handler0,3159213,16163502,False,,616,vcf,2398,vcf,10241175.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""","[{'src': 'hda', 'id': 30125843}]",,"[{'src': 'hda', 'id': 30125804}]",,"""added-genotypes""",32.0,,38810815.0,1498133184.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-06-22 12:06:31.111010,47785.0,4.0
,,2017-01-12 14:53:50.074009,slurm_normal,1484232865.0,0,,1.0,main_w3_handler1,2953170,14749660,False,,1074493,vcf,172466468,vcf,8914319.roundup,slurm,,132111800.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27897226}]",,"[{'src': 'hda', 'id': 27905500}]",,"""NA12877""",32.0,,35290831.0,1484232840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 14:54:28.578059,96665.0,25.0
,,2017-01-12 14:49:35.346734,slurm_normal,1484232643.0,0,,1.0,main_w3_handler1,2953170,14749575,False,,172466468,vcf,1393809,vcf,8914225.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27905500}]",,"[{'src': 'hda', 'id': 27896705}]",,"""NA12377""",32.0,,35290831.0,1484232586.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 14:50:46.690890,96665.0,57.0
,,2017-01-12 14:19:05.115367,slurm_normal,1484230842.0,0,,1.0,main_w4_handler1,2953170,14749320,False,,460455,vcf,549917,vcf,8913965.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27895809}]",,"[{'src': 'hda', 'id': 27895806}]",,"""added-genotypes""",32.0,,35290831.0,1484230760.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 14:20:46.934991,96665.0,82.0
,,2017-01-12 14:45:53.794382,slurm_normal,1484232387.0,0,,1.0,main_w4_handler1,2953170,14749533,False,,1393809,vcf,172466468,vcf,8914178.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27896705}]",,"[{'src': 'hda', 'id': 27905500}]",,"""NA12877""",32.0,,35290831.0,1484232364.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 14:46:29.968309,96665.0,23.0
,,2017-01-12 15:02:18.597213,slurm_normal,1484233371.0,0,,1.0,main_w3_handler0,2953170,14749765,False,,1074493,vcf,172269911,vcf,8914406.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27897226}]",,"[{'src': 'hda', 'id': 27906105}]",,"""NA12877""",32.0,,35290831.0,1484233349.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 15:02:53.349752,96665.0,22.0
,,2016-10-07 09:33:48.247192,slurm_normal,1475832949.0,0,,1.0,main_w4_handler1,2835708,14027175,False,,129606531,vcf,2130215,vcf,8245019.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 'bbd44e69cb8906b598e8b84b45569618'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c52bf37849312933'}]",,"""added-genotypes""",32.0,,33492556.0,1475832888.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2016-10-07 09:35:52.299259,90340.0,61.0
,,2017-01-12 15:28:30.103483,slurm_normal,1484234949.0,0,,1.0,main_w4_handler1,2953170,14750179,False,,1121173,vcf,155909133,vcf,8914647.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","[{'src': 'hda', 'id': 27906153}]",,"[{'src': 'hda', 'id': 27906127}]",,"""added-genotypes""",32.0,,35290831.0,1484234927.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfannotategenotypes/vcfannotategenotypes/1.0.0_rc1.0,1.0.0_rc1.0,,2017-01-12 15:29:14.900561,96665.0,22.0
