create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input2,parameters.tag_option,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-17 00:18:58.749544,slurm_normal,1429229962.0,0,1.0,main_w1_handler0,2177479,9251039,False,,1433794,vcf,197444,vcf,12712.rodeo,slurm,,16332488.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18334575,18304531,"""added-genotypes""",2.0,,22486279,1429229955.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-04-17 00:19:24.925770,44221.0,7.0
2015-05-14 14:15:30.519707,slurm_normal,1431612965.0,0,1.0,main_w2_handler1,2255047,9472063,False,,2154694,vcf,2154840,vcf,3795997.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19080565,19708174,"""added-genotypes""",32.0,,23076769,1431612958.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-05-14 14:16:13.007261,6102.0,7.0
2015-07-19 23:15:41.346960,slurm_normal,1437347778.0,0,1.0,main_w2_handler0,2381787,9910599,False,,9922,vcf,493452,vcf,4198907.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",20424882,20423664,"""added-genotypes""",32.0,,24156451,1437347772.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-07-19 23:16:21.852499,66233.0,6.0
2014-09-30 07:54:17.684682,roundup_single,1412064190.0,0,1.0,main_w1_handler1,1944122,7899204,False,,1415382820,vcf,1473508322,vcf,1879695,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17014545,17092621,"""added-genotypes""",32.0,,17142448,1412063667.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2014-09-30 08:03:12.099278,48512.0,523.0
2015-02-10 08:47:35.177569,rodeo_normal,1423558103.0,0,1.0,main_w2_handler0,2175738,8691999,False,,67891220,vcf,18611358,vcf,2697375.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18406609,18394463,"""added-genotypes""",32.0,,21159551,1423558086.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-02-10 08:48:25.688342,18058.0,17.0
2015-02-10 08:50:36.230784,rodeo_normal,1423558275.0,0,1.0,main_w1_handler0,2175738,8692005,False,,67891220,vcf,18611358,vcf,2697424.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18406609,18394463,"""added-genotypes""",32.0,,21159551,1423558260.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-02-10 08:51:17.814927,18058.0,15.0
2015-02-10 09:09:41.989521,rodeo_normal,1423559412.0,0,1.0,main_w1_handler1,2175738,8692050,False,,17955502,vcf,18611358,vcf,2697618.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/sacCer3.len""","""sacCer3""",18458546,18394463,"""added-genotypes""",32.0,,21159551,1423559399.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2015-02-10 09:10:13.622776,18058.0,13.0
2014-09-16 05:07:20.560521,roundup_single,1410844048.0,0,1.0,main_w1_handler1,2052019,7799096,False,,41862,vcf,75171,vcf,1784392,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16893823,16893732,"""added-genotypes""",32.0,,16480033,1410844046.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2014-09-16 05:07:29.893443,44221.0,2.0
2014-09-16 05:05:27.668178,roundup_single,1410843958.0,0,1.0,main_w2_handler0,2052019,7799092,False,,19205,vcf,75171,vcf,1784385,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16893826,16893732,"""added-genotypes""",32.0,,16480033,1410843933.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2014-09-16 05:06:00.102965,44221.0,25.0
2014-09-16 05:08:20.226657,roundup_single,1410844107.0,0,1.0,main_w1_handler1,2052019,7799102,False,,41122,vcf,75171,vcf,1784398,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16893803,16893732,"""added-genotypes""",32.0,,16480033,1410844105.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2014-09-16 05:08:29.201227,44221.0,2.0
2014-09-16 05:07:08.147553,roundup_single,1410844038.0,0,1.0,main_w1_handler1,2052019,7799095,False,,22100,vcf,75171,vcf,1784391,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",16893825,16893732,"""added-genotypes""",32.0,,16480033,1410844035.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/anton/vcfannotategenotypes/vcfannotategenotypes/0.0.2,0.0.2,,2014-09-16 05:07:19.393183,44221.0,3.0
