chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.vcf_input,parameters.vcf_input.values,parameters.vcf_input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,vcf_input,vcf_input_filetype,runtime
,,2015-07-27 06:36:38.873822,slurm_normal,1437979031.0,0,,1.0,main_w2_handler0,2360023,10003807,False,,4286269.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",20574882,,,32.0,,23907168,1437979021.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-07-27 06:37:16.155959,,7770486,vcf,10.0
,,2015-05-05 02:36:52.332757,slurm_normal,1430793456.0,0,,1.0,main_w2_handler0,2290533,9392952,False,,3725408.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19573801,,,32.0,,22834306,1430793441.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-05 02:37:39.235633,37542.0,56162045,vcf,15.0
,,2015-05-05 02:42:14.748820,slurm_normal,1430793823.0,0,,1.0,main_w2_handler0,2290533,9393044,False,,3725464.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",19573917,,,32.0,,22834306,1430793754.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-05 02:43:47.191911,37542.0,374854681,vcf,69.0
,,2015-05-05 02:55:00.110219,slurm_normal,1430794526.0,0,,1.0,main_w1_handler0,2290533,9393174,False,,3725571.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",19574101,,,32.0,,22834306,1430794523.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-05 02:55:30.439374,37542.0,80533,vcf,3.0
,,2015-05-05 22:44:21.535103,slurm_normal,1430865894.0,0,,1.0,main_w2_handler1,2289398,9404210,False,,3734978.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/Ptrichocarpa_156.len""","""Ptrichocarpa_156""",19529908,,,32.0,,22810963,1430865885.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-05 22:46:26.457647,62975.0,10463568,vcf,9.0
,,2015-04-28 21:17:41.071993,slurm_normal,1430256162.0,0,,1.0,main_w2_handler1,2278939,9355439,False,,3692480.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",19502106,,,32.0,,21608282,1430256144.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-04-28 21:22:47.522020,60593.0,482478,vcf,18.0
,,2015-10-24 01:12:08.374073,slurm_normal,1445649171.0,0,,1.0,main_w1_handler2,2476665,10709013,False,,4971836.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",21711424,,,32.0,,25848528,1445649149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-10-24 01:12:52.380084,71653.0,87496470,vcf,22.0
,,2015-04-29 21:31:06.830288,slurm_normal,1430343208.0,0,,1.0,main_w2_handler0,2288044,9363523,False,,3699645.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19517023,,,32.0,,22501224,1430343090.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-04-29 21:33:32.104030,62384.0,45054461,vcf,118.0
,,2015-05-04 00:27:14.262570,slurm_normal,1430699269.0,0,,1.0,main_w2_handler1,2290533,9384595,False,,3718557.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19539099,,,32.0,,22834306,1430699252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-04 00:27:51.961663,37542.0,56162045,vcf,17.0
,,2015-05-03 20:04:16.563833,slurm_normal,1430683485.0,0,,1.0,main_w2_handler1,2290533,9383527,False,,3717834.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",19538489,,,32.0,,22226340,1430683482.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/vcfgenotypes/vcfgenotypes/0.0.3,0.0.3,,2015-05-03 20:04:47.918305,37542.0,1070117,vcf,3.0
