create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.input.values,parameters.input|__identifier__,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2018-01-03 21:05:50.603533,slurm_normal,1515013559.0,0,1.0,main_w3_handler1,3371132,17939695,False,,106024,bed,12015738,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""","[{'src': 'hda', 'id': 33163137}]",,32.0,,42767207,1515013554.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2018-01-03 21:06:01.026903,,5.0
2018-01-05 11:18:05.797440,slurm_normal,1515151092.0,0,1.0,main_w4_handler0,3316111,17952988,False,,16827,bed,12029503,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 33185241}]",,32.0,,42466723,1515151088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2018-01-05 11:18:14.526639,29771.0,4.0
2017-11-14 10:10:25.008592,slurm_normal,1510654237.0,0,1.0,main_w4_handler1,3316111,17450922,False,,16827,bed,11508424,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 32302320}]",,32.0,,40269483,1510654233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-11-14 10:10:41.765135,29771.0,4.0
2017-11-14 09:12:04.646367,slurm_normal,1510650735.0,0,1.0,main_w3_handler1,3316111,17450354,False,,66419,bed,11507745,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 32143081}]",,32.0,,40269483,1510650731.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-11-14 09:12:19.348983,29771.0,4.0
2018-01-16 17:43:34.477344,slurm_normal,1516124626.0,0,1.0,main_w3_handler0,2592728,18050814,False,,4856515,bed,12128246,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""","[{'src': 'hda', 'id': 33335461}]",,32.0,,43227901,1516124619.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2018-01-16 17:43:48.795227,61353.0,7.0
2018-01-29 22:08:32.935517,slurm_normal,1517264243.0,0,1.0,main_w4_handler0,3388314,18194175,False,,4482492194,bed,12274902,slurm,,132112168.0,corral-repl,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""","[{'src': 'hda', 'id': 33560453}]",,32.0,,43517312,1517263721.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2018-01-29 22:17:25.181293,97958.0,522.0
2017-04-07 03:18:31.713485,slurm_normal,1491535119.0,0,1.0,main_w3_handler0,3003954,15514656,False,,36904,bed,9641460.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29110582}]",,32.0,,36195115,1491535114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-04-07 03:18:41.104847,,5.0
2017-05-17 15:33:52.660115,slurm_normal,1495035253.0,0,1.0,main_w3_handler1,3033848,15868534,False,,2281,bed,9968879.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29646832}]",,32.0,,36655539,1495035248.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-05-17 15:34:16.810082,,5.0
2017-05-17 15:33:53.128953,slurm_normal,1495035272.0,0,1.0,main_w3_handler1,3033848,15868535,False,,18485,bed,9968885.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""","[{'src': 'hda', 'id': 29649449}]",,32.0,,36655539,1495035269.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-05-17 15:34:34.855084,,3.0
2017-05-18 19:23:17.597564,slurm_normal,1495135451.0,0,1.0,main_w3_handler1,3072485,15883005,False,,66949,bed,9982887.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","[{'src': 'hda', 'id': 29641472}]","""NAC_tnt`CUC1_col_v31`chr1-5`chr1-5_GEM_events.narrowPeak""",32.0,,37689979,1495135437.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/bedtools/bedtools_spacingbed/2.26.0.0,2.26.0.0,,2017-05-18 19:24:15.903917,104097.0,14.0
