chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.breaks,parameters.chromInfo,parameters.dbkey,parameters.density,parameters.frequency,parameters.input,parameters.input|__identifier__,parameters.numerical_column,parameters.numerical_column.__class__,parameters.numerical_column.value,parameters.title,parameters.xlab,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-15 20:11:40.378009,roundup_single,1410811907.0,0,1.0,main_w1_handler0,2052039,7797324,False,,270949,tabular,1782529,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""True""","""True""",16888714,,"""2""",,,"""Sequence Length""","""bp""",32.0,,16991350,1410811904.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-15 20:11:49.814236,41160.0,3.0
,,2014-09-15 20:12:14.186054,roundup_single,1410811968.0,0,1.0,main_w2_handler0,2052039,7797325,False,,236583,bed,1782533,slurm,,132112264.0,corral-repl,,,"""10""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""True""","""True""",16888606,,"""5""",,,"""Read Count""","""reads""",32.0,,16991350,1410811965.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-15 20:12:49.813256,41160.0,3.0
,,2014-09-15 20:15:06.807869,roundup_single,1410812114.0,0,1.0,main_w1_handler0,2052039,7797337,False,,270949,tabular,1782544,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""False""","""True""",16888714,,"""2""",,,"""Sequence Length""","""bp""",32.0,,16991350,1410812111.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-15 20:15:16.714966,41160.0,3.0
,,2015-01-11 13:03:31.248438,rodeo_normal,1420981439.0,0,1.0,main_w1_handler1,2167969,8528214,False,,61714,sam,2451176.roundup,slurm,,132112264.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""True""",18178988,,"""4""",,,"""Histogram""","""Position""",32.0,,20067646,1420981432.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-01-11 13:04:00.227921,57476.0,7.0
,,2014-11-04 12:41:57.327684,rodeo_normal,1415104928.0,0,1.0,main_w2_handler0,1440583,8099081,False,,222213,tabular,122146.rodeo,slurm,,16332532.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""True""",17423503,,"""11""",,,"""Histogram""","""V1""",2.0,,18234104,1415104925.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-11-04 12:42:11.872761,20110.0,3.0
,,2014-10-08 15:59:10.347998,roundup_single,1412783981.0,0,1.0,main_w1_handler1,2040051,7948489,False,,15436159,tabular,1926142,slurm,,132112068.0,corral-repl,,,"""20""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""False""","""False""",17172269,,"""5""",,,"""Histogram""","""V1""",32.0,,17464041,1412783967.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-08 15:59:42.734742,52152.0,14.0
,,2014-10-11 03:11:35.225939,rodeo_normal,1412997131.0,0,1.0,main_w2_handler1,2082191,7964836,False,,143532,tabular,7212.rodeo,slurm,,16332532.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",17198491,,"""2""",,,"""Histogram""","""V1""",2.0,,17516849,1412997121.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-10-11 03:12:14.314399,,10.0
,,2014-11-14 15:04:02.142365,rodeo_normal,1415978848.0,0,1.0,main_w1_handler0,2118424,8167589,False,,268163,tabular,210289.rodeo,slurm,,8059880.0,corral-repl,,,"""20""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""False""","""True""",17543024,,"""2""",,,"""Histogram Chr1""","""Pos""",1.0,,17858755,1415978839.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-11-14 15:27:31.221950,,9.0
,,2015-02-09 15:59:09.256881,rodeo_normal,1423497581.0,0,1.0,main_w2_handler1,2200246,8687444,False,,32221828,bed,2688819.roundup,slurm,,132112168.0,corral-repl,,,"""0""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""False""",18450836,,"""2""",,,"""Histogram""","""V1""",32.0,,21138617,1423497571.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2015-02-09 15:59:49.713840,,10.0
,,2014-09-10 20:42:03.973229,roundup_single,1410381746.0,0,1.0,main_w2_handler1,2046308,7694740,False,,4665549,tabular,1681589,slurm,,132112264.0,corral-repl,,,"""100""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""True""","""True""",16718689,,"""2""",,,"""Histogram""","""V1""",32.0,,16878575,1410381742.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/dna_filtering/histogram_rpy/1.0.3,1.0.3,,2014-09-10 20:42:27.972325,,4.0
