bamFile1,bamFile1_filetype,bamFile2,bamFile2_filetype,blackListFileName,blackListFileName1,blackListFileName1_filetype,blackListFileName2,blackListFileName2_filetype,blackListFileName_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.__current_case__,parameters.advancedOpt.blackListFileName.values,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.maxFragmentLength,parameters.advancedOpt.minFragmentLength,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamFile1.values,parameters.bamFile1|__identifier__,parameters.bamFile2.values,parameters.bamFile2|__identifier__,parameters.binSize,parameters.chromInfo,parameters.comparison.__current_case__,parameters.comparison.normalization.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.__current_case__,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize,parameters.comparison.normalization.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.comparison.normalization.type,parameters.comparison.pseudocount,parameters.comparison.type,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.method,parameters.scaling.numberOfSamples,parameters.scaling.sampleLength,parameters.scaling.scaleFactor1,parameters.scaling.scaleFactor2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
285452132,bam,826733800,bam,,,,,,,,,2017-04-03 18:13:45.494479,slurm_multi,1491244792.0,0,,6.0,main_w4_handler2,2998466,15474774,False,,9603898,slurm,,132111800.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29049049}]",,"[{'src': 'hda', 'id': 28399999}]",,"""50""","""/galaxy-repl/localdata/chrom/sacCer3.len""",0,,,,,,1.0,log2,"""sacCer3""","""bigwig""","""""",1,readCount,,,,,32.0,,37076445.0,1491244647.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-03 18:39:53.417168,32860,145.0
1428884746,bam,1754920544,bam,,,,,,,,,2017-04-04 04:42:01.905236,slurm_multi,1491283549.0,0,,6.0,main_w3_handler2,3052744,15478746,False,,9607601,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 29011172}]",,"[{'src': 'hda', 'id': 29011139}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",7,2.0,1.0,,2150570000,1x,,subtract,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,35974782.0,1491282225.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-04 05:25:51.134096,33927,1324.0
1019702199,bam,1558564794,bam,,,,,,,,,2017-04-04 04:41:41.655192,slurm_multi,1491285131.0,0,,6.0,main_w4_handler2,3052744,15478745,False,,9607755,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 29011970}]",,"[{'src': 'hda', 'id': 29011971}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",7,2.0,1.0,,2150570000,1x,,subtract,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,35974782.0,1491284402.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-04 05:52:13.558706,33927,729.0
1352992973,bam,1379406430,bam,,,,,,,,,2017-04-04 04:42:29.586521,slurm_multi,1491286569.0,0,,6.0,main_w4_handler2,3052744,15478753,False,,9607826,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 29009909}]",,"[{'src': 'hda', 'id': 29009694}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",7,2.0,1.0,,2150570000,1x,,subtract,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,35974782.0,1491285439.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-04 06:17:07.912000,33927,1130.0
206083984,bam,165222113,bam,,,,,,,,,2017-06-03 06:42:29.997561,slurm_multi,1496472562.0,0,,6.0,main_w3_handler2,3137050,16004142,False,,10098135,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29868208}]",,"[{'src': 'hda', 'id': 29868204}]",,"""50""","""/galaxy-repl/localdata/chrom/sacCer2.len""",0,,,,,,1.0,log2,"""sacCer2""","""bigwig""","""""",0,SES,100000,100,,,32.0,,38046387.0,1496472220.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-03 06:49:23.823538,106132,342.0
51109623,bam,24971797,bam,,,,,,,,,2017-06-03 06:45:09.196863,slurm_multi,1496472818.0,0,,6.0,main_w3_handler2,3137050,16004148,False,,10098143,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29868210}]",,"[{'src': 'hda', 'id': 29868207}]",,"""50""","""/galaxy-repl/localdata/chrom/sacCer2.len""",0,,,,,,1.0,log2,"""sacCer2""","""bigwig""","""""",0,SES,100000,100,,,32.0,,38046387.0,1496472589.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-06-03 06:53:39.870736,106132,229.0
315224169,bam,231245582,bam,,,,,,,,,2017-04-05 13:42:20.929339,slurm_multi,1491401359.0,0,,6.0,main_w3_handler2,3057815,15494731,False,,9622599,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29071023}]",,"[{'src': 'hda', 'id': 29071020}]",,"""500000""","""/galaxy-repl/localdata/chrom/hg38.len""",0,,,,,,1.0,log2,"""hg38""","""bigwig""","""""",1,readCount,,,,,32.0,,35986775.0,1491401233.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-05 14:09:21.189112,99620,126.0
513620376,bam,601814218,bam,,,,,,,,,2017-04-06 03:10:53.689550,slurm_multi,1491450345.0,0,,6.0,main_w3_handler2,2934666,15501930,False,,9629280,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29092125}]",,"[{'src': 'hda', 'id': 28413656}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""",1,,,,,,1.0,ratio,"""mm9""","""bigwig""","""""",1,readCount,,,,,32.0,,37039578.0,1491449846.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 03:45:46.125643,46988,499.0
5291895440,bam,5291895440,bam,,,,,,,,,2017-04-06 05:02:13.900577,slurm_multi,1491456893.0,0,,6.0,main_w4_handler2,3059916,15502364,False,,9629682,slurm,,132112168.0,corral-repl,,0,no,,,0.0,,,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 29091554}]",,"[{'src': 'hda', 'id': 29091554}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""",0,,,,,,1.0,log2,"""hg19""","""bigwig""","""""",1,readCount,,,,,32.0,,37145063.0,1491456103.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 05:34:55.196652,103605,790.0
7608360421,bam,7477075593,bam,,,,,,,,,2017-04-06 07:08:53.677040,slurm_multi,1491464949.0,0,,6.0,main_w3_handler2,2776306,15503127,False,,9630720,slurm,,132111800.0,corral-repl,,0,no,,,,,,,,,,,,,,,,,,,"[{'src': 'hda', 'id': 26478870}]",,"[{'src': 'hda', 'id': 26583683}]",,"""20""","""/galaxy-repl/localdata/chrom/mm10.len""",0,,,,,,0.1,log2,"""mm10""","""bigwig""","""chr5""",1,readCount,,,,,32.0,,35957006.0,1491464443.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_compare/deeptools_bam_compare/2.5.0.0,2.5.0.0,,2017-04-06 07:49:10.760311,57381,506.0
