chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,individuals|populations_0|p_input,individuals|populations_0|p_input_filetype,individuals|populations_1|p_input,individuals|populations_1|p_input_filetype,individuals|populations_2|p_input,individuals|populations_2|p_input_filetype,individuals|populations_3|p_input,individuals|populations_3|p_input_filetype,individuals|populations_4|p_input,individuals|populations_4|p_input_filetype,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,p1_input,p1_input_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.data_source,parameters.dbkey,parameters.individuals.__current_case__,parameters.individuals.choice,parameters.individuals.p1_input,parameters.individuals.p1_input.values,parameters.individuals.populations,parameters.input,parameters.input.values,populations_0|p_input,populations_0|p_input_filetype,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-10-25 17:17:41.381769,slurm_normal,1508951923.0,0.0,1.0,main_w3_handler1,3299765,17215746,False,,,,,,,,,,,,2739327838,gd_snp,11276465,slurm,,132112168.0,corral-repl,264.0,gd_indivs,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""",1,1,,"[{'src': 'hda', 'id': 31881365}]",,,"[{'src': 'hda', 'id': 31881324}]",,,32.0,,41515403.0,1508951870.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2017-10-25 17:18:44.718640,2826.0,53.0
,,2017-10-25 17:18:49.118054,slurm_normal,1508952000.0,0.0,1.0,main_w4_handler1,3299765,17215752,False,,,,,,,,,,,,2739327838,gd_snp,11276477,slurm,,132112168.0,corral-repl,283.0,gd_indivs,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""",,"""?""",1,1,,"[{'src': 'hda', 'id': 31881402}]",,,"[{'src': 'hda', 'id': 31881324}]",,,32.0,,41515403.0,1508951938.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2017-10-25 17:20:02.420652,2826.0,62.0
,,2017-12-14 21:26:03.755710,slurm_normal,1513286783.0,0.0,1.0,main_w4_handler0,3366137,17812161,False,,,,,,,,,,,,495,gd_snp,11880626,slurm,,132112168.0,corral-repl,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""",,"""hg19""",0,0,,,,,"[{'src': 'hda', 'id': 32938464}]",,,32.0,,42670120.0,1513286775.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2017-12-14 21:26:25.635050,118668.0,8.0
,,2015-05-04 22:27:02.266031,slurm_normal,1430778539.0,0.0,1.0,main_w1_handler0,2246143,9391278,False,,,,,,,,,,,,3169477725,gd_snp,3723930.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/papAnu2.len""",,"""papAnu2""",0,0,,,,19477258,,,,32.0,,22015150.0,1430778447.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-05-04 22:29:03.736016,61434.0,92.0
,,2015-03-30 20:53:41.674848,rodeo_normal,1427748881.0,0.0,1.0,main_w2_handler0,2254519,9093631,False,,,,,,,,,,,,1132768638,gd_snp,3377882.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19072368,,,,32.0,,21564345.0,1427748840.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-03-30 20:54:45.753444,60277.0,41.0
,,2015-03-31 21:14:48.296802,rodeo_normal,1427836559.0,0.0,1.0,main_w2_handler0,2255938,9106732,False,,,,,,,,,,,,706043140,gd_snp,3392023.roundup,slurm,,132112168.0,corral-repl,,,,"""f5ecb00ad7ea11e4b3e0005056a52a46""","""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19093057,,,,32.0,,21564345.0,1427836504.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-03-31 21:16:02.140059,60277.0,55.0
,,2015-04-02 16:15:21.287236,slurm_normal,1427991362.0,0.0,1.0,main_w1_handler0,2258199,9125559,False,,,,,,,,,,,,1132768638,gd_snp,3410396.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19125121,,,,32.0,,21564345.0,1427991336.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 16:16:04.360533,60277.0,26.0
,,2015-04-02 18:41:57.295614,slurm_normal,1428000155.0,0.0,1.0,main_w1_handler0,2258374,9127223,False,,,,,,,,,,,,1132768638,gd_snp,3411766.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19127439,,,,32.0,,21603744.0,1428000130.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 18:42:37.796302,60585.0,25.0
,,2015-04-02 18:41:29.211417,slurm_normal,1428000140.0,0.0,1.0,main_w2_handler1,2258373,9127217,False,,,,,,,,,,,,1132768638,gd_snp,3411760.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19127420,,,,32.0,,21607065.0,1428000101.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 18:42:23.549779,60277.0,39.0
,,2015-04-02 18:41:33.857224,slurm_normal,1428000145.0,0.0,1.0,main_w2_handler1,2258376,9127219,False,,,,,,,,,,,,1132768638,gd_snp,3411763.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19127422,,,,32.0,,22003527.0,1428000112.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 18:42:27.714650,60548.0,33.0
,,2015-04-02 18:41:38.443898,slurm_normal,1428000194.0,0.0,1.0,main_w1_handler1,2258371,9127221,False,,,,,,,,,,,,1132768638,gd_snp,3411764.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19127421,,,,32.0,,21603239.0,1428000114.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 18:43:17.927167,60583.0,80.0
,,2015-04-02 18:41:30.267605,slurm_normal,1428000140.0,0.0,1.0,main_w1_handler1,2258375,9127218,False,,,,,,,,,,,,1132768638,gd_snp,3411761.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19127424,,,,32.0,,21590614.0,1428000106.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-02 18:42:21.860671,60544.0,34.0
,,2015-04-06 15:22:19.560601,slurm_normal,1428333788.0,0.0,1.0,main_w2_handler1,2260965,9150190,False,,,,,,,,,,,,1132768638,gd_snp,3433009.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19160341,,,,32.0,,21601018.0,1428333752.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-06 15:23:11.417201,60570.0,36.0
,,2015-04-14 17:25:02.055779,slurm_normal,1429032336.0,0.0,1.0,main_w1_handler1,2270129,9230120,False,,,,,,,,,,,,706043140,gd_snp,3511403.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19287259,,,,32.0,,21601018.0,1429032317.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-14 17:25:38.019982,60570.0,19.0
,,2015-04-17 03:16:52.131649,slurm_normal,1429240675.0,0.0,1.0,main_w2_handler1,2273103,9251995,False,,,,,,,,,,,,706043140,gd_snp,3536509.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19325088,,,,32.0,,22003527.0,1429240630.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-17 03:17:59.540020,60548.0,45.0
,,2015-04-24 14:06:06.140334,slurm_normal,1429884443.0,0.0,1.0,main_w1_handler1,2281072,9323674,False,,,,,,,,,,,,1132768638,gd_snp,3658264.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19453388,,,,32.0,,21590614.0,1429884393.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-24 14:07:28.335627,60544.0,50.0
,,2015-04-24 16:30:06.405064,slurm_normal,1429893044.0,0.0,1.0,main_w1_handler1,2281218,9324519,False,,,,,,,,,,,,706043140,gd_snp,3660247.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19454567,,,,32.0,,21590614.0,1429893025.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-24 16:30:54.707555,60544.0,19.0
,,2015-04-24 21:10:34.360457,slurm_normal,1429909879.0,0.0,1.0,main_w2_handler1,2281814,9325996,False,,,,,,,,,,,,706043140,gd_snp,3664210.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19457361,,,,32.0,,21603239.0,1429909861.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-24 21:11:22.244707,60583.0,18.0
,,2015-04-27 16:05:03.206187,slurm_normal,1430160065.0,0.0,1.0,main_w2_handler1,2284715,9336507,False,,,,,,,,,,,,1132768638,gd_snp,3676119.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19476255,,,,32.0,,21602589.0,1430159875.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-27 18:41:16.362571,60573.0,190.0
,,2015-04-27 15:01:31.566051,slurm_normal,1430154728.0,0.0,1.0,main_w2_handler0,2284635,9336313,False,,,,,,,,,,,,1132768638,gd_snp,3675385.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19475919,,,,32.0,,21602589.0,1430154654.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-27 17:12:20.846032,60573.0,74.0
,,2015-04-27 23:21:56.543583,slurm_normal,1430176962.0,0.0,1.0,main_w1_handler1,2285205,9339991,False,,,,,,,,,,,,1132768638,gd_snp,3678319.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""",0,0,,,,19480923,,,,32.0,,22410749.0,1430176936.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-27 23:22:45.372908,60585.0,26.0
,,2015-04-28 02:37:20.317445,slurm_normal,1430188681.0,0.0,1.0,main_w1_handler1,2285351,9340557,False,,,,,,,,,,,,706043140,gd_snp,3679100.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19482040,,,,32.0,,22746101.0,1430188651.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-28 02:38:03.425842,60573.0,30.0
,,2015-04-28 02:50:00.994027,slurm_normal,1430189437.0,0.0,1.0,main_w1_handler0,2285357,9340609,False,,,,,,,,,,,,706043140,gd_snp,3679146.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19482139,,,,32.0,,22410749.0,1430189420.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-04-28 02:50:40.480462,60585.0,17.0
,,2015-05-29 05:43:31.475981,slurm_normal,1432878320.0,0.0,1.0,main_w1_handler0,2314367,9559069,False,,,,,,,,,,,,706043140,gd_snp,3872532.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,19850099,,,,32.0,,23218726.0,1432878219.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-05-29 05:45:24.801263,,101.0
,,2015-06-13 19:43:47.801124,slurm_normal,1434224664.0,0.0,1.0,main_w1_handler0,2333001,9648911,False,,,,,,,,,,,,78039995,gd_snp,3960289.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/?.len""",,"""?""",0,0,,,,20000244,,,,32.0,,23627091.0,1434224657.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-06-13 19:44:27.081821,64850.0,7.0
,,2015-07-15 09:29:57.932633,slurm_normal,1436952629.0,0.0,1.0,main_w1_handler1,2348782,9871449,False,,,,,,,,,,,,34273,gd_snp,4161073.roundup,slurm,,132112168.0,corral-repl,,,,,"""/galaxy-repl/main/files/011/703/dataset_11703371.dat""",,"""Complete""",0,0,,,,20349041,,,,32.0,,23451692.0,1436952623.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_coverage_distributions/1.0.0,1.0.0,,2015-07-15 09:30:31.196707,61115.0,6.0
