create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input,input1,input1_filetype,input2,input2_filetype,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.rank_by.__current_case__,parameters.rank_by.choice,parameters.rank_by.input,parameters.rank_by.input1,parameters.rank_by.input2,parameters.rank_by.k_col2,parameters.rank_by.kgene,parameters.rank_by.kpath,parameters.rank_by.stat,parameters.rank_by.t_col1,parameters.rank_by.t_col2,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-12-09 12:11:31.527253,slurm_normal,1449663122.0,0,1.0,main_w2_handler0,2531843,11125851,False,,,5072.0,gg,5072.0,gg,,5391382.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,22363289.0,22363289.0,1,,,fisher,1,1,32.0,,26649180,1449663116.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2015-12-09 12:12:04.496242,,6.0
2015-09-17 10:19:23.170814,slurm_normal,1442485193.0,0,1.0,main_w1_handler2,2442042,10342542,False,,,5852.0,tabular,5852.0,tabular,,4625752.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,21146060.0,21146060.0,1,,,fisher,1,1,32.0,,25223044,1442485188.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2015-09-17 10:19:57.520455,,5.0
2015-08-25 00:33:32.912977,slurm_normal,1440462845.0,0,1.0,main_w1_handler0,2417699,10193166,False,,,774.0,tabular,774.0,tabular,,4462340.roundup,slurm,,132112168.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,20895141.0,20895141.0,1,,,fisher,1,1,32.0,,24820687,1440462839.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2015-08-25 00:34:08.729588,,6.0
2014-10-31 01:32:41.922678,rodeo_normal,1414719204.0,0,1.0,main_w1_handler1,1977580,8075891,False,,,75229264.0,gtf,103637095.0,gtf,,102815.rodeo,slurm,,8059880.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,pct,,16214441.0,16139023.0,1,,,fisher,1,1,1.0,,18046380,1414719178.0,ok,835576.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-10-31 01:33:26.309084,51148.0,26.0
2014-09-24 13:14:36.087457,roundup_single,1411564494.0,0,1.0,main_w2_handler1,2049505,7850553,False,,,3289462.0,tabular,3289462.0,tabular,,1833589,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,17006286.0,17006286.0,1,,,fisher,1,1,32.0,,16927454,1411564487.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-09-24 13:14:56.398396,52983.0,7.0
2014-09-26 13:55:36.512960,roundup_single,1411739754.0,0,1.0,main_w1_handler1,2014368,7868425,False,,,29258.0,tabular,29258.0,tabular,,1849226,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",0,pct,,16335304.0,16335304.0,1,,,fisher,1,1,32.0,,16184495,1411739748.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-09-26 13:55:57.380893,51930.0,6.0
2014-11-05 21:15:04.540600,rodeo_normal,1415222130.0,0,1.0,main_w2_handler0,2109016,8110468,False,,,199221.0,interval,199221.0,interval,,1944428.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,17439622.0,17439622.0,1,,,fisher,1,1,32.0,,18326584,1415222121.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-11-05 21:15:36.878067,51804.0,9.0
2014-10-13 08:02:53.464973,rodeo_normal,1413187395.0,0,1.0,main_w1_handler1,2029591,7970428,False,,,188604.0,vcf,188604.0,vcf,,13172.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,17207993.0,17207993.0,1,,,fisher,1,1,2.0,,17566049,1413187386.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-10-13 08:03:18.771591,52406.0,9.0
2014-10-26 17:01:04.965631,rodeo_normal,1414343260.0,0,1.0,main_w1_handler1,2048058,8045895,False,,,7911349.0,tabular,1024078904.0,gtf,,78271.rodeo,slurm,,16332532.0,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,pct,,17321816.0,17329019.0,1,,,fisher,1,1,2.0,,17042286,1414342878.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-10-26 17:07:43.716112,13627.0,382.0
2014-12-03 14:55:24.436029,rodeo_normal,1417618544.0,0,1.0,main_w2_handler0,2129572,8310718,False,,,151184.0,tabular,145631.0,tabular,,2186528.roundup,slurm,,132112264.0,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",0,pct,,17735048.0,17735052.0,1,,,fisher,1,1,32.0,,19650600,1417618538.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_calc_freq/1.2.0,1.2.0,,2014-12-03 14:55:46.341177,56314.0,6.0
