chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,p1_input,p1_input_filetype,param_filename,parameters.__workflow_invocation_uuid__,parameters.branch_style,parameters.chromInfo,parameters.data_source,parameters.dbkey,parameters.include_reference,parameters.individuals.__current_case__,parameters.individuals.choice,parameters.individuals.p1_input,parameters.individuals.p1_input.values,parameters.input_type.__current_case__,parameters.input_type.choice,parameters.input_type.data_source.__current_case__,parameters.input_type.data_source.choice,parameters.input_type.data_source.minimum_coverage,parameters.input_type.data_source.minimum_quality,parameters.input_type.input,parameters.input_type.input.values,parameters.layout_style,parameters.length_style,parameters.minimum_coverage,parameters.minimum_quality,parameters.scale_style,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-14 02:25:48.206273,slurm_normal,1460600787.0,0,,1.0,main_w2_handler0,2669226,12448170,False,,938284,gd_genotype,6646035.roundup,slurm,,132112168.0,corral-repl,614.0,gd_indivs,,,"""""","""/galaxy-repl/localdata/chrom/macEug2.len""",,"""macEug2""","""0""",1,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5739e28bbafa05b71'}]",1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5013afa59d83b32bd'}]","""""","""""",,,"""""",32.0,,28279787.0,1460600783.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-04-14 02:26:29.139601,77800.0,4.0
,,2016-04-14 01:29:28.528529,slurm_normal,1460597418.0,0,,1.0,main_w1_handler0,2669226,12447959,False,,938284,gd_genotype,6645808.roundup,slurm,,132112168.0,corral-repl,,,,,"""""","""/galaxy-repl/localdata/chrom/macEug2.len""",,"""macEug2""","""0""",0,0,,,1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5013afa59d83b32bd'}]","""""","""""",,,"""""",32.0,,28279787.0,1460597412.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-04-14 01:30:19.954452,77800.0,6.0
,,2016-06-01 17:56:33.592013,slurm_normal,1464803924.0,0,,1.0,main_w1_handler1,2286633,13042897,False,,3505423727,gd_genotype,7222529.roundup,slurm,,132112168.0,corral-repl,345.0,gd_indivs,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",1,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b586f6584679fa6c6d'}]",1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be33d8bdf8cfd3c4'}]","""""","""""",,,"""""",32.0,,30527460.0,1464803825.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-06-01 17:58:56.333195,62914.0,99.0
,,2016-06-01 18:03:28.137125,slurm_normal,1464804298.0,0,,1.0,main_w1_handler0,2286633,13042968,False,,3505423727,gd_genotype,7222603.roundup,slurm,,132112168.0,corral-repl,193.0,gd_indivs,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",1,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c021e8b98c3ed341'}]",1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be33d8bdf8cfd3c4'}]","""""","""""",,,"""""",32.0,,30527460.0,1464804236.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-06-01 18:05:00.856012,62914.0,62.0
,,2016-06-01 18:44:22.302360,slurm_normal,1464806765.0,0,,1.0,main_w2_handler0,2286633,13043211,False,,3505423727,gd_genotype,7222870.roundup,slurm,,132112168.0,corral-repl,116.0,gd_indivs,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",1,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b51ec352d7c8219b7d'}]",1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be33d8bdf8cfd3c4'}]","""""","""""",,,"""""",32.0,,30527460.0,1464806693.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-06-01 18:46:08.095220,62914.0,72.0
,,2016-06-01 18:51:09.415214,slurm_normal,1464807241.0,0,,1.0,main_w2_handler0,2286633,13043284,False,,3505423727,gd_genotype,7222905.roundup,slurm,,132112168.0,corral-repl,,,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",0,0,,,1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be33d8bdf8cfd3c4'}]","""""","""""",,,"""""",32.0,,30527460.0,1464807094.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-06-01 18:54:03.382994,62914.0,147.0
,,2016-06-01 18:50:47.922867,slurm_normal,1464807179.0,0,,1.0,main_w1_handler0,2286633,13043277,False,,380905070,gd_snp,7222904.roundup,slurm,,132112168.0,corral-repl,,,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",0,0,,,0,0,1.0,1,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b55c09396f28181912'}]","""""","""""",,,"""""",32.0,,30527460.0,1464807088.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-06-01 18:53:03.217857,62914.0,91.0
,,2016-04-26 02:56:45.289018,slurm_normal,1461639517.0,0,,1.0,main_w2_handler0,2286633,12618635,False,,3505423727,gd_genotype,6820311.roundup,slurm,,132112168.0,corral-repl,193.0,gd_indivs,,,"""""","""/galaxy-repl/localdata/chrom/hg19.len""",,"""hg19""","""1""",1,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c021e8b98c3ed341'}]",1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5be33d8bdf8cfd3c4'}]","""""","""""",,,"""""",32.0,,29765710.0,1461639425.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-04-26 02:58:39.936729,62914.0,92.0
,,2016-05-31 19:37:07.977396,slurm_normal,1464723481.0,0,,1.0,main_w1_handler0,2722531,13033279,False,,83726,gd_genotype,7212768.roundup,slurm,,132112168.0,corral-repl,,,,,"""""","""/galaxy-repl/localdata/chrom/mycoTube_H37RV.len""",,"""mycoTube_H37RV""","""1""",0,0,,,1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5bfdfa7a7cd870083'}]","""""","""""",,,"""""",32.0,,30504508.0,1464723470.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-05-31 19:38:03.343957,85254.0,11.0
,,2016-05-31 23:25:30.425122,slurm_normal,1464737173.0,0,,1.0,main_w2_handler0,2722531,13034721,False,,7948766,gd_genotype,7214319.roundup,slurm,,132112168.0,corral-repl,,,,,"""""","""/galaxy-repl/localdata/chrom/mycoTube_H37RV.len""",,"""mycoTube_H37RV""","""1""",0,0,,,1,1,,,,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5f25541b3d361aee6'}]","""""","""""",,,"""""",32.0,,30504508.0,1464737167.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/miller-lab/genome_diversity/gd_phylogenetic_tree/1.1.0,1.1.0,,2016-05-31 23:26:15.206478,85254.0,6.0
