chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,input1,input1_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input1,parameters.input1.values,parameters.input1|__identifier__,parameters.out_format1,parameters.regions,parameters.separate,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-09-18 18:09:44.201850,roundup_single,1411063833.0,0.0,,1.0,main_w2_handler0,2056934,7814100,False,,4186864,fasta,1798766,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/paraDeni_PD1222.len""","""paraDeni_PD1222""",16932038,,,"""fasta""","""50-100""","""no""",32.0,,17059131.0,1411063826.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-09-18 18:10:35.294809,35099.0,7.0
,,2014-12-01 03:25:46.136157,rodeo_normal,1417404361.0,0.0,,1.0,main_w1_handler0,2133316,8275838,False,,34768,fasta,362898.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17721714,,,"""fasta""","""1-20""","""no""",2.0,,19830288.0,1417404358.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-12-01 03:26:03.480805,,3.0
,,2014-12-01 03:34:11.737534,rodeo_normal,1417404864.0,0.0,,1.0,main_w1_handler1,2133316,8275868,False,,34768,fasta,362949.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17721714,,,"""fasta""","""1..20,22..25""","""no""",2.0,,19830288.0,1417404861.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-12-01 03:34:25.739705,,3.0
,,2014-12-01 03:35:36.416645,rodeo_normal,1417404955.0,0.0,,1.0,main_w2_handler1,2133316,8275872,False,,34768,fasta,2145365.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17721714,,,"""fasta""","""1..20,22-30,41-45""","""no""",32.0,,19830288.0,1417404952.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-12-01 03:35:57.613328,,3.0
,,2017-02-20 20:12:05.929454,slurm_normal,1487621535.0,0.0,,1.0,main_w3_handler1,3003134,15089484,False,,1601216,fasta,9244511.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/44.len""","""44""",,"[{'src': 'hda', 'id': 28434425}]",,"""text""","""440-790""","""yes""",32.0,,36179582.0,1487621530.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2017-02-20 20:12:17.028627,100529.0,5.0
,,2017-02-20 20:16:41.206028,slurm_normal,1487621810.0,0.0,,1.0,main_w4_handler0,3003134,15089506,False,,1601216,fasta,9244533.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/44.len""","""44""",,"[{'src': 'hda', 'id': 28434425}]",,"""fasta""","""440-790""","""yes""",32.0,,36179582.0,1487621805.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2017-02-20 20:16:52.100467,100529.0,5.0
,,2015-01-14 15:04:31.962452,rodeo_normal,1421248488.0,0.0,,1.0,main_w2_handler0,2173478,8545404,False,,16499492,fasta,766250.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",18207802,,,"""fasta""","""1-9999999""","""no""",2.0,,20495403.0,1421248486.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2015-01-14 15:15:05.942704,,2.0
288561.0,len,2015-01-20 21:19:23.920096,rodeo_normal,1421788780.0,0.0,,1.0,main_w1_handler1,2078015,8576203,False,,277661302,fasta,2517640.roundup,slurm,,132112264.0,corral-repl,,,"""/galaxy-repl/main/files/010/198/dataset_10198920.dat""","""An.gambiae-P4_ForPhil""",18218716,,,"""fasta""","""1-999""","""yes""",32.0,,20511859.0,1421788774.0,ok,1023992.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2015-01-20 21:19:42.642859,53939.0,6.0
,,2014-12-01 03:34:53.074208,rodeo_normal,1417404905.0,0.0,,1.0,main_w2_handler0,2133316,8275869,False,,34768,fasta,362951.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17721714,,,"""fasta""","""1..20""","""no""",2.0,,19830288.0,1417404901.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-12-01 03:35:07.673395,,4.0
,,2014-12-08 17:55:52.608929,rodeo_normal,1418061362.0,0.0,,1.0,main_w1_handler0,2122357,8373841,False,,642581,fasta,502356.rodeo,slurm,,16332532.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",17680585,,,"""fasta""","""1-9999999""","""no""",2.0,,19774770.0,1418061359.0,ok,0.0,toolshed.g2.bx.psu.edu/repos/devteam/emboss_5/EMBOSS: extractseq35/5.0.0,5.0.0,,2014-12-08 17:56:06.398049,54658.0,3.0
