bamInput,bamInput_filetype,chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.advancedOpt.MNase,parameters.advancedOpt.__current_case__,parameters.advancedOpt.centerReads,parameters.advancedOpt.doExtendCustom.__current_case__,parameters.advancedOpt.doExtendCustom.doExtend,parameters.advancedOpt.doExtendCustom.extendReadsValue,parameters.advancedOpt.filterRNAstrand,parameters.advancedOpt.ignoreDuplicates,parameters.advancedOpt.ignoreForNormalization,parameters.advancedOpt.minMappingQuality,parameters.advancedOpt.samFlagExclude,parameters.advancedOpt.samFlagInclude,parameters.advancedOpt.showAdvancedOpt,parameters.advancedOpt.skipNAs,parameters.advancedOpt.smoothLength,parameters.bamInput.values,parameters.bamInput|__identifier__,parameters.binSize,parameters.chromInfo,parameters.dbkey,parameters.outFileFormat,parameters.region,parameters.scaling.__current_case__,parameters.scaling.effectiveGenomeSize.__current_case__,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize,parameters.scaling.effectiveGenomeSize.effectiveGenomeSize_opt,parameters.scaling.scaleFactor,parameters.scaling.type,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
774428608,bam,,,2016-06-17 08:18:49.196378,slurm_multi,1466151754.0,0,,6.0,main_w2_handler2,2741721,13191084,False,,7375849,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59fdf2153da3b064e'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,30923430.0,1466151649.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 08:22:42.870834,86254,105.0
313934096,bam,,,2016-06-17 08:06:05.859893,slurm_multi,1466150915.0,0,,6.0,main_w2_handler2,2371580,13191028,False,,7375778,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5140256cc08963c18'}]",,"""50""","""/galaxy-repl/localdata/chrom/?.len""","""?""","""bedgraph""","""""",2,3.0,,121400000,1.0,1x,32.0,,30365511.0,1466150781.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 08:08:40.451443,26891,134.0
2555251401,bam,,,2016-09-07 22:24:22.111225,slurm_multi,1473287623.0,0,,6.0,main_w4_handler2,2648948,13801889,False,,8022370,slurm,,132112168.0,corral-repl,,0,no,,,false,1,true,0.0,no,,no,true,chrY,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5e29e385316b7b24d'}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,32803902.0,1473287080.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-07 22:33:45.553319,81516,543.0
449027136,bam,,,2016-06-17 11:14:51.717996,slurm_multi,1466162247.0,0,,6.0,main_w1_handler2,2741183,13192363,False,,7377122,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50f214cc9ba522782'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,1.0,,2150570000,1.0,1x,32.0,,30923680.0,1466162104.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:17:28.801350,80593,143.0
7314968311,bam,,,2016-06-17 10:39:11.956779,slurm_multi,1466161226.0,0,,6.0,main_w1_handler2,2185573,13192220,False,,7376978,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5720d9c0bb69814f5'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bigwig""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466159976.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 11:00:28.729954,28313,1250.0
1545858939,bam,,,2016-09-07 22:02:49.275639,slurm_multi,1473286778.0,0,,6.0,main_w3_handler2,2762351,13801829,False,,8022328,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b57c74fb24aadf7b81'}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,32820770.0,1473286411.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-07 22:19:41.135556,87186,367.0
3358214287,bam,,,2016-09-07 22:14:23.082687,slurm_multi,1473286979.0,0,,6.0,main_w3_handler2,2648948,13801867,False,,8022334,slurm,,132112168.0,corral-repl,,0,no,,,false,1,true,0.0,no,,no,true,chrY,1,,,yes,false,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b592d2979a3763a9d7'}]",,"""50""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""","""bigwig""","""""",0,,,,1.0,rpkm,32.0,,32803902.0,1473286480.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-09-07 22:23:01.706989,81516,499.0
755877008,bam,,,2016-06-17 14:16:37.255609,slurm_multi,1466176987.0,0,,6.0,main_w2_handler2,2738610,13193216,False,,7378311,slurm,,132112168.0,corral-repl,,0,no,,"""1888f5d4349611e6b9a3005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5cfef408af4a8a28a'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466176733.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:23:09.975056,86099,254.0
336833405,bam,,,2016-06-17 15:01:32.030522,slurm_multi,1466176944.0,0,,6.0,main_w2_handler2,2185573,13193403,False,,7378318,slurm,,132112168.0,corral-repl,,0,no,,,,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c909c3563f3be1b3'}]",,"""1""","""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""","""bedgraph""","""""",2,0.0,135000000,specific,1.0,1x,32.0,,30772075.0,1466176823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:22:26.462451,28313,121.0
640466242,bam,,,2016-06-17 14:16:48.233384,slurm_multi,1466178084.0,0,,6.0,main_w1_handler2,2738610,13193222,False,,7378435,slurm,,132112168.0,corral-repl,,0,no,,"""1fe50a48349611e6a4f7005056a51846""",,0,,,,,,,,,,,no,,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5739efd4cec89c86e'}]",,"""50""","""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""","""bigwig""","""""",2,2.0,,2451960000,1.0,1x,32.0,,30907016.0,1466177809.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/bgruening/deeptools_bam_coverage/deeptools_bam_coverage/2.2.3.0,2.2.3.0,,2016-06-17 15:41:28.796828,86099,275.0
