chromInfo,chromInfo_filetype,create_time,destination_id,end_epoch,exit_code,galaxy_slots,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_interval,input_interval_filetype,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input_bam,parameters.input_bam.values,parameters.input_bam|__identifier__,parameters.slice_method.__current_case__,parameters.slice_method.input_interval,parameters.slice_method.input_interval.values,parameters.slice_method.refs,parameters.slice_method.refs.__class__,parameters.slice_method.regions,parameters.slice_method.slice_method_selector,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2017-04-04 01:48:36.095570,slurm_normal,1491270609.0,0,1.0,main_w4_handler0,3057815,15477970,False,,72455989,bam,,,9606827.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29053182}]",,1.0,,,"['chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX', 'chrY']",,,chr,32.0,,35926409.0,1491270531.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 01:50:10.832678,99620.0,78.0
,,2017-04-04 01:48:35.877098,slurm_normal,1491270544.0,0,1.0,main_w3_handler0,3057815,15477969,False,,56979767,bam,,,9606823.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29053176}]",,1.0,,,"['chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX', 'chrY']",,,chr,32.0,,35926409.0,1491270520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 01:49:06.744430,99620.0,24.0
,,2017-04-04 01:48:35.365636,slurm_normal,1491270560.0,0,1.0,main_w4_handler1,3057815,15477967,False,,71940622,bam,,,9606826.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29053164}]",,1.0,,,"['chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX', 'chrY']",,,chr,32.0,,35926409.0,1491270528.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 01:49:21.939054,99620.0,32.0
,,2017-04-04 01:48:35.189343,slurm_normal,1491270552.0,0,1.0,main_w3_handler1,3057815,15477966,False,,86409900,bam,,,9606822.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29053158}]",,1.0,,,"['chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX', 'chrY']",,,chr,32.0,,35926409.0,1491270520.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 01:49:14.212688,99620.0,32.0
,,2017-04-04 01:48:35.577888,slurm_normal,1491270576.0,0,1.0,main_w4_handler1,3057815,15477968,False,,63302116,bam,,,9606828.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg38.len""","""hg38""",,"[{'src': 'hda', 'id': 29053170}]",,1.0,,,"['chr1', 'chr2', 'chr3', 'chr4', 'chr5', 'chr6', 'chr7', 'chr8', 'chr9', 'chr10', 'chr11', 'chr12', 'chr13', 'chr14', 'chr15', 'chr16', 'chr17', 'chr18', 'chr19', 'chr20', 'chr21', 'chr22', 'chrX', 'chrY']",,,chr,32.0,,35926409.0,1491270549.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 01:49:38.179697,99620.0,27.0
,,2017-02-22 12:35:13.262501,slurm_normal,1487766926.0,0,1.0,main_w4_handler1,2856828,15106190,False,,7808626225,bam,,,9261199.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 27038654}]",,2.0,,,,,"[{'__index__': 0, 'end': '53500000', 'chrom': 'chr14', 'start': '51500000'}]",man,32.0,,35849975.0,1487766920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-02-22 12:35:30.609571,47785.0,6.0
,,2017-02-22 12:22:25.173455,slurm_normal,1487766266.0,0,1.0,main_w4_handler1,2856828,15106125,False,,7808626225,bam,,,9261141.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 27038654}]",,1.0,,,['chr14'],,,chr,32.0,,35849975.0,1487766149.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-02-22 12:24:28.984530,47785.0,117.0
,,2017-02-22 12:35:13.546005,slurm_normal,1487766927.0,0,1.0,main_w4_handler1,2856828,15106191,False,,7169130939,bam,,,9261200.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",,"[{'src': 'hda', 'id': 27038655}]",,2.0,,,,,"[{'__index__': 0, 'end': '53500000', 'chrom': 'chr14', 'start': '51500000'}]",man,32.0,,35849975.0,1487766920.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-02-22 12:35:30.869597,47785.0,7.0
,,2017-04-04 14:54:14.027303,slurm_normal,1491318359.0,0,1.0,main_w4_handler0,3057736,15482708,False,,278742724,bam,328.0,bed,9610894.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",,"[{'src': 'hda', 'id': 29051710}]",,0.0,,"[{'src': 'hda', 'id': 29051664}]",,,,bed,32.0,,37078845.0,1491318252.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 15:07:13.167246,17286.0,107.0
,,2017-04-04 10:59:37.033866,slurm_normal,1491303585.0,0,1.0,main_w3_handler0,3046758,15480968,False,,6282860674,bam,,,9609645.roundup,slurm,,132112168.0,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",,"[{'src': 'hda', 'id': 29057495}]",,1.0,,,['MT'],,,chr,32.0,,36904746.0,1491303579.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/devteam/samtools_slice_bam/samtools_slice_bam/2.0,2.0,,2017-04-04 10:59:48.203400,58799.0,6.0
