create_time,destination_id,end_epoch,exit_code,galaxy_memory_mb,galaxy_slots,handler,history_id,id,imported,infile,infile_filetype,info,job_runner_external_id,job_runner_name,library_folder_id,memtotal,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.dgidb,parameters.family_wise,parameters.gt_filter,parameters.header,parameters.in,parameters.infile,parameters.infile.values,parameters.min_kindreds,parameters.q,parameters.region,parameters.sample_filter,parameters.show_families,parameters.show_samples,processor_count,runner_name,session_id,start_epoch,state,swaptotal,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-10-02 16:36:34.050172,slurm_normal,1506962957.0,0,,1.0,main_w4_handler1,3042033,16988201,False,430011392,gemini.sqlite,,11054616.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30136080}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id ""","""""","""""","""false""","""true""",32.0,,40973866.0,1506962204.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 16:49:22.413628,102626.0,753.0
2017-10-02 17:20:05.979784,slurm_normal,1506967781.0,0,,1.0,main_w3_handler1,3042033,16990251,False,1465274368,gemini.sqlite,,11055537.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30105688}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id ""","""""","""""","""false""","""true""",32.0,,40973866.0,1506964823.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 18:11:35.680819,102626.0,2958.0
2017-10-02 17:00:46.794657,slurm_normal,1506964397.0,0,,1.0,main_w3_handler1,3042033,16988994,False,430011392,gemini.sqlite,,11055216.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30136080}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id ""","""""","""""","""false""","""true""",32.0,,40973866.0,1506963669.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 17:13:22.151416,102626.0,728.0
2017-10-02 18:11:44.388710,slurm_normal,1506970666.0,0,,1.0,main_w3_handler1,3042033,16991265,False,1465274368,gemini.sqlite,,11056501.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30105688}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id ""","""""","""""","""false""","""true""",32.0,,40973866.0,1506967953.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 19:00:10.486911,102626.0,2713.0
2017-10-02 19:48:47.000093,slurm_normal,1506974270.0,0,,1.0,main_w4_handler0,3042033,16992540,False,4565469184,gemini.sqlite,,11057179.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15""","""""","""""","""false""","""true""",32.0,,40973866.0,1506973755.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 19:58:07.196909,102626.0,515.0
2017-10-02 19:58:27.764910,slurm_normal,1506974862.0,0,,1.0,main_w4_handler0,3042033,16992643,False,4565469184,gemini.sqlite,,11057330.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15""","""""","""""","""false""","""true""",32.0,,40973866.0,1506974484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 20:07:58.922221,102626.0,378.0
2017-10-02 20:08:34.782999,slurm_normal,1506975343.0,0,,1.0,main_w4_handler0,3042033,16992839,False,4565469184,gemini.sqlite,,11057404.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15""","""""","""""","""false""","""true""",32.0,,40973866.0,1506974955.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 20:16:00.030636,102626.0,388.0
2017-10-02 20:32:27.996525,slurm_normal,1506976443.0,0,,1.0,main_w4_handler0,3042033,16993247,False,4565469184,gemini.sqlite,,11057618.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15 AND aaf_exac_all < .001  AND variant_impacts.impact = 'missense_variant'""","""""","""""","""false""","""true""",32.0,,40973866.0,1506976385.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 20:34:22.867167,102626.0,58.0
2017-10-02 20:34:38.650925,slurm_normal,1506976536.0,0,,1.0,main_w4_handler1,3042033,16993279,False,4565469184,gemini.sqlite,,11057630.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15 AND aaf_exac_all < .001  AND variant_impacts.impact = 'missense_variant'""","""""","""""","""false""","""true""",32.0,,40973866.0,1506976484.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 20:35:39.805558,102626.0,52.0
2017-10-02 20:36:20.475595,slurm_normal,1506976650.0,0,,1.0,main_w3_handler0,3042033,16993308,False,4565469184,gemini.sqlite,,11057645.roundup,slurm,,132112168.0,corral-repl,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg19.len""","""hg19""","""false""","""false""","""""","""true""","""any""",,"[{'src': 'hda', 'id': 30120672}]","""1""","""SELECT * FROM variants JOIN variant_impacts ON variants.variant_id = variant_impacts.variant_id WHERE cadd_scaled > 15 AND aaf_exac_all < .001  AND variant_impacts.impact = 'missense_variant'""","""""","""""","""false""","""true""",32.0,,40973866.0,1506976603.0,ok,1023996.0,toolshed.g2.bx.psu.edu/repos/iuc/gemini_query/gemini_query/0.18.1.0,0.18.1.0,,2017-10-02 20:37:44.918053,102626.0,47.0
