chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,gene_annotation_model,gene_annotation_model_filetype,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.max_coverage_intron,parameters.params.coverage_search.min_coverage_intron,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.gene_model_ann.__current_case__,parameters.params.own_junctions.gene_model_ann.gene_annotation_model,parameters.params.own_junctions.gene_model_ann.use_annotations,parameters.params.own_junctions.no_novel_juncs,parameters.params.own_junctions.raw_juncs.__current_case__,parameters.params.own_junctions.raw_juncs.use_juncs,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile,parameters.singlePaired.__current_case__,parameters.singlePaired.input1,parameters.singlePaired.input1.values,parameters.singlePaired.input2,parameters.singlePaired.input2.values,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2014-12-16 01:59:10.117643,roundup_multi,,,,main_w2_handler2,2150098,8421802,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",36910540942,fastqsanger,,,2322027,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,0,17976095.0,,,,,,,single,,20073115,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-16 09:26:55.264698,57496,26865.147055
345.0,len,2014-12-19 16:47:33.322775,roundup_multi,,,,main_w2_handler2,1600936,8445897,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3698051414,fastqsanger,3698051414.0,fastqsanger,2353702,slurm,,corral-repl,2708024895.0,fasta,,0.0,no,,"""/galaxy-repl/main/files/008/836/dataset_8836985.dat""","""?""",1,8,0.0,No,,,,No,1.0,,,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,,,,,,,No,2,2,1000,25,2,full,0,1,no,1,history,,16381113.0,1,13994329.0,,13994330.0,,300,20,Yes,paired,,20083493,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-20 19:31:38.341624,23528,96245.018849
,,2014-11-28 20:34:59.141003,roundup_multi,,141985352.0,gtf,main_w2_handler2,2126389,8265289,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19116018342,fastqsanger,17627761462.0,fastqsanger,2133143,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17648800.0,Yes,No,0.0,No,Yes,3,3,1000,25,2,full,0,1,no,0,indexed,mm10,,1,17648807.0,,17648808.0,,100,80,Yes,paired,,19642318,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-11-29 06:58:43.586552,40178,37424.445549000004
,,2014-11-22 22:00:00.621113,roundup_multi,,141985352.0,gtf,main_w2_handler2,2126389,8229853,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",19116018342,fastqsanger,17627761462.0,fastqsanger,2091007,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17648800.0,Yes,No,0.0,No,Yes,3,3,1000,25,2,full,0,1,no,0,indexed,mm10,,1,17648807.0,,17648808.0,,100,80,Yes,paired,,19642318,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-11-23 08:22:03.191569,40178,37322.570456
,,2014-12-16 20:33:22.521813,roundup_multi,,255739770.0,gtf,main_w2_handler2,2150072,8426056,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7950275895,fastqsanger,,,2333739,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17990972.0,Yes,No,0.0,No,Yes,3,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,17990540.0,,,,,,,single,,17706352,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-17 21:39:45.403356,54511,90382.88154300001
,,2014-12-19 23:06:23.464945,roundup_multi,,255739770.0,gtf,main_w2_handler2,2152975,8447382,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6160155413,fastqsanger,,,2351640,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,18026351.0,Yes,No,0.0,No,Yes,3,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,18023119.0,,,,,,,single,,19642318,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-20 03:12:16.941572,40178,14753.476627000002
,,2014-12-16 04:27:22.122119,roundup_multi,,,,main_w2_handler2,2150133,8422260,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",20912125312,fastqsanger,,,2322593,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,hg19,,0,17976970.0,,,,,,,single,,20073859,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-16 09:45:51.080814,57497,19108.958695
,,2014-11-30 23:47:12.293465,roundup_multi,,141985352.0,gtf,main_w2_handler2,2126389,8274739,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",14530703635,fastqsanger,13964949365.0,fastqsanger,2143984,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/mm10.len""","""mm10""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17648800.0,Yes,No,0.0,No,Yes,3,3,1000,25,2,full,0,1,no,0,indexed,mm10,,1,17710265.0,,17710266.0,,100,80,Yes,paired,,19642318,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-01 07:15:44.925866,40178,26912.632401000003
,,2014-12-20 01:01:22.808390,roundup_multi,,255739770.0,gtf,main_w2_handler2,2150072,8447960,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7635107528,fastqsanger,,,2353506,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17990972.0,Yes,No,0.0,No,Yes,3,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,17990110.0,,,,,,,single,,17706352,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-20 18:17:09.518625,54511,62146.710235000006
,,2014-12-16 22:21:54.603173,roundup_multi,,255739770.0,gtf,main_w2_handler2,2150072,8427184,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",7277723658,fastqsanger,,,2339590,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,8,0.0,No,,,,No,1.0,,,No,1.0,13,Yes,chrM,100000,2,2,2,1.0,Yes,3,3,fr-unstranded,100000,20,100000,No,70,50,0.0,1.0,17990972.0,Yes,No,0.0,No,Yes,3,2,1000,25,2,full,0,1,no,0,indexed,hg19,,0,17990553.0,,,,,,,single,,17706352,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.6,0.6,,2014-12-18 12:56:43.317001,54511,138888.713828
