create_time,destination_id,exit_code,handler,history_id,id,imported,info,input1,input1_filetype,input2,input2_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,ownFile,ownFile_filetype,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.chromInfo,parameters.dbkey,parameters.params.__current_case__,parameters.params.anchor_length,parameters.params.bowtie2_settings.__current_case__,parameters.params.bowtie2_settings.b2_settings,parameters.params.bowtie2_settings.preset.__current_case__,parameters.params.bowtie2_settings.preset.b2_preset,parameters.params.bowtie2_settings.preset.b2_preset_select,parameters.params.bowtie_n,parameters.params.coverage_search.__current_case__,parameters.params.coverage_search.use_search,parameters.params.fusion_search.__current_case__,parameters.params.fusion_search.anchor_len,parameters.params.fusion_search.do_search,parameters.params.fusion_search.ignore_chromosomes,parameters.params.fusion_search.min_dist,parameters.params.fusion_search.multipairs,parameters.params.fusion_search.multireads,parameters.params.fusion_search.read_mismatches,parameters.params.indel_search.__current_case__,parameters.params.indel_search.allow_indel_search,parameters.params.indel_search.max_deletion_length,parameters.params.indel_search.max_insertion_length,parameters.params.library_type,parameters.params.max_intron_length,parameters.params.max_multihits,parameters.params.max_segment_intron,parameters.params.microexon_search,parameters.params.min_intron_length,parameters.params.min_segment_intron,parameters.params.own_junctions.__current_case__,parameters.params.own_junctions.use_junctions,parameters.params.read_edit_dist,parameters.params.read_mismatches,parameters.params.read_realign_edit_dist,parameters.params.seg_length,parameters.params.seg_mismatches,parameters.params.settingsType,parameters.params.splice_mismatches,parameters.readGroup.__current_case__,parameters.readGroup.specReadGroup,parameters.refGenomeSource.__current_case__,parameters.refGenomeSource.genomeSource,parameters.refGenomeSource.index,parameters.refGenomeSource.ownFile,parameters.singlePaired.__current_case__,parameters.singlePaired.input1,parameters.singlePaired.input2,parameters.singlePaired.mate_inner_distance,parameters.singlePaired.mate_std_dev,parameters.singlePaired.report_discordant_pairs,parameters.singlePaired.sPaired,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-04-22 23:31:05.742767,slurm_multi,,main_w2_handler2,2246042,9306539,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1804902728,fastqsanger,5125279782.0,fastqsanger,3627196,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,Yes,1.0,No,1.0,20,Yes,,10000000,2,2,2,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,1,19419557,19426435.0,300,20,Yes,paired,,21992455,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-23 04:04:33.103769,38345,16407.361002
2015-04-14 15:49:49.019128,slurm_multi,,main_w2_handler2,1653721,9229243,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12707907887,fastqsanger,12707907887.0,fastqsanger,3510586,slurm,,corral-repl,,,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,0,indexed,mm10,,1,19278362,19278364.0,300,20,Yes,paired,,22186982,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-14 22:01:41.095473,40452,22312.076345
2015-04-16 04:29:08.995237,slurm_multi,,main_w2_handler2,2252042,9242966,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",28130063796,fastqsanger,28130063796.0,fastqsanger,3524618,slurm,,corral-repl,1038293846.0,fasta,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,0.0,No,,,,No,1.0,No,0.0,,No,,,,,,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,No,8,8,1000,25,2,full,0,1,no,1,history,,19300794.0,1,19042063,19042064.0,220,60,No,paired,,22515373,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-16 13:40:06.158684,60634,33057.163447
2015-04-15 19:15:27.292579,slurm_multi,,main_w2_handler2,2252042,9240274,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",28130063796,fastqsanger,28130063796.0,fastqsanger,3521001,slurm,,corral-repl,1038293846.0,fasta,,,,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,preSet,,1,no,1,history,,19300794.0,1,19042064,19042064.0,220,60,No,paired,,22500870,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-16 04:13:07.942179,60634,32260.6496
2015-05-01 22:09:01.743065,slurm_multi_dynamic_walltime,,main_w2_handler2,2006790,9377447,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3133532724,fastqsanger,,,3713741,slurm,,corral-repl,52330665.0,fasta,,1.0,yes,slurm_multi,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,No,1.0,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,1,history,,19539694.0,0,19527237,,,,,single,,22807924,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-02 04:30:36.323590,51876,22894.580525
2015-05-01 22:08:52.875868,slurm_multi_dynamic_walltime,,main_w2_handler2,2006790,9377445,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5686120672,fastqsanger,,,3713270,slurm,,corral-repl,52330665.0,fasta,,1.0,yes,slurm_multi,"""/galaxy-repl/localdata/chrom/Homo_sapiens_nuHg19_mtrCRS.len""","""Homo_sapiens_nuHg19_mtrCRS""",1,8,1.0,Yes,0.0,Yes,sensitive,No,1.0,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,1,history,,19539694.0,0,19527235,,,,,single,,22807924,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-02 02:42:34.569453,51876,16421.693585
2015-05-01 22:09:06.233630,slurm_multi_dynamic_walltime,,main_w2_handler2,2006790,9377449,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",6292274998,fastqsanger,,,3713758,slurm,,corral-repl,52330665.0,fasta,,1.0,yes,slurm_multi,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,No,1.0,No,1.0,20,Yes,,10000000,2,2,2,1.0,Yes,3,3,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,1,history,,19539694.0,0,19527238,,,,,single,,22807924,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-05-02 05:47:32.980763,51876,27506.747133
2015-04-22 23:23:35.868113,slurm_multi,,main_w2_handler2,2246042,9306520,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1417056102,fastqsanger,3991369188.0,fastqsanger,3625488,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,Yes,1.0,No,1.0,20,Yes,,10000000,2,2,2,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,1,19419475,19419482.0,300,20,Yes,paired,,21992455,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-23 01:36:50.569372,38345,7994.701259
2015-04-22 23:33:37.788034,slurm_multi,,main_w2_handler2,2246042,9306545,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1446261516,fastqsanger,4086839790.0,fastqsanger,3629068,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,No,1.0,No,1.0,20,Yes,,10000000,2,2,2,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,1,19419567,19419571.0,300,20,Yes,paired,,21992455,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-23 06:01:08.321999,38345,23250.533965000002
2015-04-23 01:54:10.539780,slurm_multi,,main_w2_handler2,2246042,9307124,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1417056102,fastqsanger,3991369188.0,fastqsanger,3630185,slurm,,corral-repl,,,,0.0,no,,"""/galaxy-repl/localdata/chrom/?.len""","""?""",1,8,1.0,Yes,0.0,Yes,sensitive,Yes,1.0,No,1.0,20,Yes,,10000000,2,2,2,0.0,No,,,fr-unstranded,500000,20,500000,No,70,50,1.0,No,2,2,1000,25,2,full,0,1,no,0,indexed,mm10,,1,19419475,19419482.0,300,20,Yes,paired,,21992455,error,toolshed.g2.bx.psu.edu/repos/devteam/tophat2/tophat2/0.7,0.7,,2015-04-23 07:43:13.788324,38345,20943.248544000002
