create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.cond,parameters.dbkey,parameters.header_lines,parameters.input.values,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2016-10-26 05:06:55.017698,slurm_normal,,main_w4_handler1,2867584,14175521,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388203.roundup,slurm,,corral-repl,,"""031562729b3a11e698c5005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 05:07:29.540084,32188,34.522386000000004
2016-10-26 04:12:12.283082,slurm_normal,,main_w4_handler1,2867584,14175268,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed6,8387968.roundup,slurm,,corral-repl,,"""5e9ea6b09b3211e6b423005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5313798ec9ca25953'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:13:18.887622,32188,66.60454
2016-10-26 04:13:42.598482,slurm_normal,,main_w4_handler1,2867584,14175273,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed6,8387972.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5313798ec9ca25953'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:14:31.985974,32188,49.387492
2016-10-26 05:00:23.513141,slurm_normal,,main_w3_handler0,2867584,14175502,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388184.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 05:01:14.112494,32188,50.599353
2016-10-26 04:45:42.377992,slurm_normal,,main_w3_handler0,2867584,14175420,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388105.roundup,slurm,,corral-repl,,"""0cb8941e9b3711e68ae1005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:46:03.243078,32188,20.865086
2016-10-26 04:40:35.155861,slurm_normal,,main_w3_handler1,2867584,14175397,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388087.roundup,slurm,,corral-repl,,"""559b517c9b3611e6956e005056a51846""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:41:39.218812,32188,64.062951
2016-10-26 05:31:56.713189,slurm_normal,,main_w4_handler0,2867584,14175661,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388330.roundup,slurm,,corral-repl,,"""8251b8589b3d11e698c5005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 05:33:01.746007,32188,65.032818
2016-10-26 04:58:07.476100,slurm_normal,,main_w4_handler0,2867584,14175494,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed,8388178.roundup,slurm,,corral-repl,,"""c8c8400e9b3811e682ba005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b57e74ad0dbb5cbaba'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:59:11.775157,32188,64.299057
2016-10-26 04:21:58.890844,slurm_normal,,main_w4_handler1,2867584,14175303,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed6,8387999.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5313798ec9ca25953'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:22:33.526868,32188,34.636024
2016-10-26 04:07:59.258670,slurm_normal,,main_w4_handler0,2867584,14175251,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",12814141379,bed6,8387953.roundup,slurm,,corral-repl,,"""c7cc250a9b3111e6bb4e005056a52a46""","""/galaxy-repl/localdata/chrom/mm9.len""","""c1=='chr16'""","""mm9""","""0""","[{'src': 'hda', 'id': 'bbd44e69cb8906b5313798ec9ca25953'}]",,33817109,error,Filter1,1.1.0,,2016-10-26 04:09:23.569045,32188,84.31037500000001
