comp_rod_bind_0|comp_input_rod,comp_rod_bind_0|comp_input_rod_filetype,create_time,dbsnp_input_rod,dbsnp_input_rod_filetype,destination_id,exit_code,gatk_param_type|input_exclude_interval_repeat_0|input_exclude_intervals,gatk_param_type|input_exclude_interval_repeat_0|input_exclude_intervals_filetype,gatk_param_type|input_interval_repeat_0|input_intervals,gatk_param_type|input_interval_repeat_0|input_intervals_filetype,handler,history_id,id,imported,info,input_bam,input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.additional_annotations,parameters.annotation_group,parameters.annotations_type.__current_case__,parameters.annotations_type.annotations,parameters.annotations_type.annotations_type_selector,parameters.chromInfo,parameters.comp_rod_bind,parameters.dbkey,parameters.dbsnp_rod_bind_type.__current_case__,parameters.dbsnp_rod_bind_type.dbsnp_input_rod,parameters.dbsnp_rod_bind_type.dbsnp_input_rod.values,parameters.dbsnp_rod_bind_type.dbsnp_rod_bind_type_selector,parameters.dbsnp_rod_bind_type.dbsnp_rod_name,parameters.exclude_annotations,parameters.expressions,parameters.family_string,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.mendel_violation_genotype_quality_threshold,parameters.reference_source.__current_case__,parameters.reference_source.input_bam,parameters.reference_source.input_bam.values,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.input_variant_bti,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.resource_rod_bind,parameters.snpEff_rod_bind_type.__current_case__,parameters.snpEff_rod_bind_type.snpEff_rod_bind_type_selector,ref_file,ref_file_filetype,resource_rod_bind_0|resource_input_rod,resource_rod_bind_0|resource_input_rod_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2015-03-06 06:54:50.398022,7572857398.0,vcf,rodeo_normal,,,,,,main_w1_handler0,2206069,8877976,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8349809324.0,bam,38138900.0,bed,20862156,vcf,3037700.roundup,slurm,,corral-repl,,[],,1.0,"['FisherStrand', 'HaplotypeScore', 'HomopolymerRun', 'MappingQualityRankSumTest', 'QualByDepth', 'ReadPosRankSumTest']",choose,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",[],"""hg19""",1,18511348.0,,set_dbsnp,dbsnp,,[],"""""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18523771, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,"""0.0""",1.0,18534369.0,,18750891.0,,True,18511350,,history,[],0,exclude_snpEff,3199905909.0,fasta,,,,21450986,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-03-06 07:02:17.202717,58799.0,446.80469500000004
,,2015-10-18 18:40:54.894339,141018.0,vcf,slurm_normal,,,,,,main_w1_handler2,2475941,10631790,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,141018,vcf,4892264.roundup,slurm,,corral-repl,,[],,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",[],"""hg_g1k_v37""",1,21602777.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,,,,,,25760774,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-10-18 18:41:53.097996,46716.0,58.20365700000001
,,2014-12-15 20:57:55.285648,420895531.0,vcf,rodeo_normal,,,,,,main_w2_handler1,2149527,8420403,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,420895531,vcf,2320389.roundup,slurm,,corral-repl,,[],,1.0,SnpEff,choose,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""",[],"""hg19Patch10""",1,17965807.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,3189750467.0,fasta,,,,20069580,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2014-12-15 21:41:23.478947,50040.0,2608.193299
,,2015-02-03 12:57:12.935934,10796220779.0,vcf,rodeo_normal,,,,,,main_w2_handler1,2079025,8656136,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,2175801,vcf,2629720.roundup,slurm,,corral-repl,,[],,,,,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",1,17294287.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,3199905909.0,fasta,,,,19622992,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-02-03 13:03:20.913098,50891.0,367.977164
,,2015-12-02 19:28:26.139779,1625.0,vcf,slurm_normal,,,,,,main_w1_handler1,2525580,11068663,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,2044658,vcf,5321128.roundup,slurm,,corral-repl,,[],,1.0,['BaseCounts'],choose,"""/galaxy-repl/localdata/chrom/?.len""",[],"""?""",1,22267743.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,380710511.0,fasta,,,,26428762,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-12-02 19:31:02.046540,67460.0,155.90676100000002
,,2015-04-10 08:41:24.427834,17479659.0,vcf,slurm_normal,,,,,,main_w2_handler0,2242161,9191581,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,17479659,vcf,3473038.roundup,slurm,,corral-repl,,[],,1.0,['QualByDepth'],choose,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",[],"""hg_g1k_v37""",1,19023377.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,,,,,,22369777,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-04-10 08:43:08.036133,61078.0,103.608299
,,2015-11-29 18:55:05.461536,7572857398.0,vcf,slurm_normal,,,,,,main_w2_handler0,2521531,11037504,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",21694005.0,bam,,,121572,vcf,5293161.roundup,slurm,,corral-repl,,[],"[""Standard""]",0.0,,use_all_annotations,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",1,22210818.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",1.0,22206991.0,,22210801.0,,False,22205939,,history,[],0,exclude_snpEff,3199905909.0,fasta,,,,26445157,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-11-29 18:58:24.745241,74214.0,199.28370500000003
,,2016-07-08 16:07:53.074946,12008.0,vcf,slurm_normal,,,,,,main_w1_handler0,2664481,13362966,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,12008,vcf,7572781.roundup,slurm,,corral-repl,,[],,1.0,"['BaseCounts', 'GCContent', 'HaplotypeScore', 'SnpEff']",choose,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b533e6299b385c8b1d'}]",set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,3147289058.0,fasta,,,,31042007,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2016-07-08 16:12:28.266688,49545.0,275.19174200000003
,,2016-06-03 10:40:48.091346,26848070765.0,vcf,slurm_normal,,,,,,main_w1_handler0,2725320,13058392,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,1948736,vcf,7244646.roundup,slurm,,corral-repl,,[],,1.0,"['DepthOfCoverage', 'FisherStrand', 'HomopolymerRun', 'MappingQualityRankSumTest', 'QualByDepth', 'ReadPosRankSumTest']",choose,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",[],"""hg_g1k_v37""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b50449ac725ac93a17'}]",set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,,,,,,30303613,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2016-06-03 10:42:25.061675,84651.0,96.970329
,,2015-06-19 13:04:05.890747,1742208475.0,vcf,slurm_normal,,,,,,main_w2_handler0,567701,9691766,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,1742208475,vcf,4000800.roundup,slurm,,corral-repl,,[],,1.0,['SnpEff'],choose,"""/galaxy-repl/localdata/chrom/hg19.len""",[],"""hg19""",1,20067986.0,,set_dbsnp,dbsnp,,[],"""""",0,,,,,,,basic,,,,,,,,,,,,,"""0.0""",,,,,,,,,,[],0,exclude_snpEff,3199905909.0,fasta,,,,23675110,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_annotator/gatk_variant_annotator/0.0.5,0.0.5,,2015-06-19 13:08:42.712592,10476.0,276.821845
