create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_bams_0|input_bam,input_bams_0|input_bam_filetype,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.analysis_param_type.__current_case__,parameters.analysis_param_type.analysis_param_type_selector,parameters.chromInfo,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.genotype_likelihoods_model,parameters.reference_source.__current_case__,parameters.reference_source.input_bams,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.rod_bind,parameters.standard_min_confidence_threshold_for_calling,parameters.standard_min_confidence_threshold_for_emitting,ref_file,ref_file_filetype,reference_source|input_bams_0|input_bam,reference_source|input_bams_0|input_bam_filetype,rod_bind_0|input_rod,rod_bind_0|input_rod_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-11-16 11:21:13.308440,slurm_normal_16gb,,main_w2_handler0,2505651,10913615,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4336805503.0,bam,,,5167889.roundup,slurm,,corral-repl,,"""21bb33a08c5411e5b138005056a51846""",0.0,basic,"""/galaxy-repl/localdata/chrom/Arabidopsis_thaliana_TAIR10.len""","""Arabidopsis_thaliana_TAIR10""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': 22018897}]",22018213,,history,[],"""30.0""","""30.0""",4517760859.0,fasta,,,,,,26296547,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2015-11-16 14:16:22.058176,73350,10508.749736
2016-04-10 05:30:23.821854,slurm_normal_16gb,,main_w2_handler1,2632333,12405874,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1301460.0,bam,,,6606298.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': 24220154}]",24237742,,history,[],"""30.0""","""30.0""",4646373244.0,fasta,,,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-10 05:59:09.619136,80547,1725.797282
2016-05-06 17:55:43.722936,slurm_normal_16gb,,main_w1_handler0,2697001,12808117,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,7008845.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5678ba703908d5678'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5394d21d6ac8e43f0'}]",history,[],"""30.0""","""30.0""",4646373244.0,fasta,152086.0,bam,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-05-06 18:11:07.461024,80547,923.7380880000001
2016-04-20 16:58:38.717277,slurm_normal_16gb,,main_w1_handler0,2674701,12540031,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,6726333.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b56277923ad70db1b4'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9739f9f73c441d7'}]",history,[],"""30.0""","""30.0""",4646373244.0,fasta,2522.0,bam,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-20 18:44:40.854374,80547,6362.137097000001
2015-09-07 21:15:34.693670,slurm_normal_16gb,,main_w2_handler0,2420576,10273971,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2567601.0,bam,7420545566.0,vcf,4560141.roundup,slurm,,corral-repl,,,,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 21002224, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,"""BOTH""",0,"[{'__index__': 0, 'input_bam': 21018055}]",hg_g1k_v37,,cached,"[{""__index__"": 0, ""rod_bind_type"": {""rod_bind_type_selector"": ""dbsnp"", ""__current_case__"": 0, ""input_rod"": 21002224}}]","""20.0""","""20.0""",,,,,7420545566.0,vcf,,25026203,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2015-09-08 04:32:38.927439,65923,26224.233769000002
2016-04-10 05:30:35.016289,slurm_normal_16gb,,main_w2_handler0,2632333,12405886,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",353786504.0,bam,,,6606589.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': 24231846}]",24237742,,history,[],"""30.0""","""30.0""",4646373244.0,fasta,,,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-10 07:47:33.895104,80547,8218.878815
2016-04-20 16:58:37.565169,slurm_normal_16gb,,main_w2_handler1,2674701,12540030,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,6727125.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b50697005d786a0cc9'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9739f9f73c441d7'}]",history,[],"""30.0""","""30.0""",4646373244.0,fasta,2451.0,bam,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-20 20:01:36.517797,80547,10978.952628000001
2016-04-10 05:30:24.824785,slurm_normal_16gb,,main_w2_handler1,2632333,12405875,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",986283.0,bam,,,6606536.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': 24220156}]",24237742,,history,[],"""30.0""","""30.0""",4646373244.0,fasta,,,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-10 07:20:19.519120,80547,6594.694335
2016-04-10 05:30:28.435595,slurm_normal_16gb,,main_w1_handler1,2632333,12405878,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",182997506.0,bam,,,6606638.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': 24225020}]",24237742,,history,[],"""30.0""","""30.0""",4646373244.0,fasta,,,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-10 08:14:59.757023,80547,9871.321428000001
2016-04-20 16:58:25.257157,slurm_normal_16gb,,main_w2_handler1,2674701,12540023,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,6725933.roundup,slurm,,corral-repl,,,0.0,basic,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",0,,,,,,,basic,,,,,,,,,,,,,"""BOTH""",1,"[{'__index__': 0, 'input_bam': {'values': [{'src': 'hda', 'id': 'bbd44e69cb8906b5fe62d7e4dde9e4cc'}]}}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a9739f9f73c441d7'}]",history,[],"""30.0""","""30.0""",4646373244.0,fasta,1735.0,bam,,,,28992008,error,toolshed.g2.bx.psu.edu/repos/devteam/unified_genotyper/gatk_unified_genotyper/0.0.6,0.0.6,,2016-04-20 17:50:47.233790,80547,3141.976633
