create_time,dbsnp_input_rod,dbsnp_input_rod_filetype,destination_id,exit_code,handler,history_id,id,imported,info,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.dbkey,parameters.dbsnp_rod_bind_type.__current_case__,parameters.dbsnp_rod_bind_type.dbsnp_input_rod,parameters.dbsnp_rod_bind_type.dbsnp_rod_bind_type_selector,parameters.dbsnp_rod_bind_type.dbsnp_rod_name,parameters.do_not_validate_filtered_records,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.gatk_param_type_selector,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.ref_file,parameters.reference_source.reference_source_selector,parameters.warn_on_errors,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-09-22 21:04:24.768586,3032813.0,vcf,slurm_normal,,main_w1_handler1,2442139,10385369,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",126099195,vcf,4666320.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/012/438/dataset_12438053.dat""","""TRAC""",1,21165686.0,set_dbsnp,dbsnp,"""False""",0,basic,1,21146355,21146338,history,"""False""",240180720.0,fasta,,25174793,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-09-22 21:06:50.971933,61115,146.203347
2015-12-22 18:42:54.023944,10641623137.0,vcf,slurm_normal,,main_w1_handler1,2516081,11312323,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11086771641,vcf,5590967.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",1,22628279.0,set_dbsnp,dbsnp,"""False""",0,basic,1,22600716,22628289,history,"""False""",3153506519.0,fasta,,26956492,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-12-22 18:47:35.512570,30192,281.488626
2015-07-22 20:09:16.122630,7572857398.0,vcf,slurm_normal,,main_w1_handler2,2383920,9946563,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",90199019,vcf,4231401.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,20481506.0,set_dbsnp,dbsnp,"""False""",0,basic,1,20481507,20467434,history,"""True""",3199905909.0,fasta,,24226166,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-07-22 20:20:37.102670,66004,680.98004
2015-12-08 17:45:56.460353,,,slurm_normal,,main_w1_handler1,2526484,11119823,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3910008832,vcf,5389572.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/droYak2.len""","""droYak2""",0,,exclude_dbsnp,,"""False""",0,basic,1,22351838,22352378,history,"""False""",122047816.0,fasta,,26544334,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-12-09 04:18:52.680209,57895,37976.219856
2015-02-11 16:03:56.620982,7572857398.0,vcf,rodeo_normal,,main_w2_handler1,2200632,8705072,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",440015,vcf,2721935.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,18454640.0,set_dbsnp,dbsnp,"""False""",0,basic,1,18466547,18454641,history,"""False""",104582027.0,fasta,,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-02-11 16:07:30.482961,17286,213.86197900000002
2015-02-13 15:43:22.597988,4185978690.0,vcf,rodeo_normal,,main_w2_handler1,2205355,8721143,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",28848520,vcf,2750709.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/dm3.len""","""dm3""",1,18503457.0,set_dbsnp,dbsnp,"""True""",0,basic,1,18504364,18503458,history,"""True""",122387948.0,fasta,,21199985,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-02-13 15:46:08.330348,58185,165.73236
2015-12-22 18:50:23.045568,10641623137.0,vcf,slurm_normal,,main_w1_handler1,2516081,11312389,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",11086771641,vcf,5591027.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19Patch10.len""","""hg19Patch10""",1,22628279.0,set_dbsnp,dbsnp,"""True""",0,basic,1,22600716,22628289,history,"""True""",3153506519.0,fasta,,26956492,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-12-22 18:55:01.443749,30192,278.398181
2015-01-21 18:46:58.573556,120310311.0,vcf,rodeo_normal,,main_w1_handler0,2176172,8581217,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",8264099411,vcf,2525875.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,18258809.0,set_dbsnp,dbsnp,"""False""",0,basic,1,18258810,18258696,history,"""False""",3199905909.0,fasta,,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-01-21 18:50:12.777993,17286,194.204437
2015-02-18 04:39:29.337972,890958075.0,vcf,rodeo_normal,,main_w2_handler0,2208709,8751349,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",890958075,vcf,2805055.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/Saccharomyces_cerevisiae_S288C_SGD2010.len""","""Saccharomyces_cerevisiae_S288C_SGD2010""",1,18543097.0,set_dbsnp,dbsnp,"""False""",0,basic,1,18543097,18533211,history,"""False""",15276844.0,fasta,,21291548,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-02-18 04:41:38.039380,59749,128.70140800000001
2015-02-05 22:51:19.340290,7572857398.0,vcf,rodeo_normal,,main_w1_handler1,2192005,8673311,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",440316,vcf,2661082.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",1,18387508.0,set_dbsnp,dbsnp,"""False""",0,basic,1,18424947,18403951,history,"""False""",104582027.0,fasta,,20424153,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-02-05 22:53:41.148475,17286,141.808185
2015-05-01 16:08:47.110502,2304273959.0,vcf,slurm_normal,,main_w2_handler0,2272833,9375580,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2304273959,vcf,3711402.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""","""hg_g1k_v37""",1,19527819.0,set_dbsnp,dbsnp,"""False""",0,basic,0,19527819,hg_g1k_v37,cached,"""False""",,,,22540739,error,toolshed.g2.bx.psu.edu/repos/devteam/variants_validate/gatk_validate_variants/0.0.4,0.0.4,,2015-05-01 16:10:53.413232,62326,126.30273000000001
