chromInfo,chromInfo_filetype,create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.colours,parameters.dbkey,parameters.input,parameters.input.values,parameters.logoname,parameters.outformat,parameters.range.__current_case__,parameters.range.mode,parameters.range.seqend,parameters.range.seqstart,parameters.size,parameters.units,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
,,2016-04-08 05:52:09.054210,slurm_normal,,main_w1_handler2,2648269,12379153,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",5497055053,fasta,6578462.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",24200009,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,29469125,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2016-04-08 05:59:24.942093,81481,435.88788300000004
,,2016-04-08 05:52:08.462584,slurm_normal,,main_w1_handler0,2648269,12379152,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2946627946,fasta,6578611.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",24200008,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,29469125,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2016-04-08 06:17:13.657529,81481,1505.1949450000002
,,2015-07-23 09:53:33.133826,slurm_normal,,main_w1_handler0,2376952,9951810,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",4160713437,fasta,4236772.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/danRer7.len""","""auto""","""danRer7""",20494325,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""small""","""probability""",,24255742,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-07-23 10:01:48.700216,66680,495.56639
,,2015-10-05 16:09:38.701670,slurm_normal,,main_w1_handler2,2460158,10504057,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",390222520,fasta,4779746.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""classic""","""?""",21402589,,"""Nucleotide frequency distribution viral barcode RNA RT-PCR v11""","""pdf""",0,complete,,,"""large""","""probability""",,25109637,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-10-05 16:18:19.871367,48605,521.169697
,,2015-06-22 23:57:35.486872,slurm_normal,,main_w1_handler2,2351185,9712303,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3819994980,fasta,4019227,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",20097045,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,23747131,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-06-23 00:11:41.038873,65129,845.552001
,,2015-05-05 12:17:45.844386,slurm_normal,,main_w1_handler1,2180330,9398841,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",3657554726,fasta,3729911.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",19409884,,"""Chip-Seq Data Sequence logo""","""png""",0,complete,,,"""large""","""bits""",,22618366,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-05-05 12:29:42.286112,58303,716.441726
,,2015-03-11 07:11:54.551428,rodeo_normal,,main_w2_handler0,2175506,8914418,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",2279643962,fasta,3105287.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",18784435,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,20705813,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-03-11 07:17:06.229927,58353,311.67849900000004
,,2016-04-07 19:42:14.050528,slurm_normal,,main_w1_handler0,2643667,12375045,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",892520648,fasta,6572019.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",24195508,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2016-04-07 19:48:41.412105,81363,387.361577
,,2016-04-07 19:11:46.060675,slurm_normal,,main_w2_handler1,2643667,12374176,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",892520648,fasta,6571652.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg18.len""","""auto""","""hg18""",24156634,,"""Galaxy-Rgenetics Sequence Logo""","""png""",0,complete,,,"""large""","""bits""",,29183917,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2016-04-07 19:18:21.048867,81363,394.988192
,,2015-05-05 07:45:26.042452,slurm_normal,,main_w2_handler1,2180330,9395387,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",1117844700,fasta,3727760.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""","""auto""","""?""",19409883,,"""Chip-Seq Sequence Logo""","""jpeg""",0,complete,,,"""large""","""bits""",,22618366,error,toolshed.g2.bx.psu.edu/repos/devteam/weblogo3/rgweblogo3/0.4,0.4,,2015-05-05 08:59:22.645050,58303,4436.602598
