create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_mask_rod,input_mask_rod_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cluster_snp_type.__current_case__,parameters.cluster_snp_type.cluster_size,parameters.cluster_snp_type.cluster_snp_type_selector,parameters.cluster_snp_type.cluster_window_size,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.mask_rod_bind_type.__current_case__,parameters.mask_rod_bind_type.input_mask_rod,parameters.mask_rod_bind_type.input_mask_rod.values,parameters.mask_rod_bind_type.mask_extension,parameters.mask_rod_bind_type.mask_rod_bind_type_selector,parameters.mask_rod_bind_type.mask_rod_name,parameters.missing_values_in_expressions_should_evaluate_as_failing,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.variant_filters,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-29 14:28:53.578111,rodeo_normal,,main_w1_handler1,2252572,9076788,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,72703490.0,vcf,310734651,vcf,3363116.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,1,19047592.0,,0,set_mask,Mask,"""False""",1,19046968.0,,19045697,,history,"[{""__index__"": 0, ""filter_expression"": ""QA > 200"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",72911062.0,fasta,,22090955,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-29 14:31:51.353740,61618,177.775629
2016-10-06 08:33:36.983564,slurm_normal,,main_w4_handler1,2843579,14018113,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,4667131.0,vcf,4667131,vcf,8236310.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b521206e2d76615cee'}]",0,set_mask,Mask,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b521206e2d76615cee'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5a5aa382f4066174b'}]",history,"[{""__index__"": 0, ""filter_expression"": ""AB < 0.2 || MQ0 > 50"", ""is_genotype_filter"": ""true"", ""filter_name"": ""custom_filter""}]",45517599660.0,fasta,,33492556,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-10-06 09:00:34.500926,90340,1617.517362
2016-02-08 23:04:51.415283,slurm_normal,,main_w1_handler0,2382854,11753927,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,404550516,vcf,6010007.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""False""",1,21085794.0,,20813283,,history,[],4708052.0,fasta,,26577807,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-02-08 23:07:55.569811,66578,184.154528
2015-06-30 22:35:01.020870,slurm_normal,,main_w1_handler2,2360805,9771639,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,7572857398.0,vcf,23146134,vcf,4074475.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,20197440.0,,0,set_mask,Mask,"""False""",0,20197419.0,,hg_g1k_v37,,cached,[],,,,22948662,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-07-01 01:34:32.452768,50992,10771.431898
2015-06-04 14:04:44.798509,slurm_normal,,main_w1_handler0,2329767,9597750,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5469265540.0,vcf,13787,vcf,3909057.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""",0,,do_not_cluster_snp,,"""hg19""",0,,,,,,,basic,,,,,,,,,,,,,1,19904712.0,,0,set_mask,GMAF,"""False""",1,19905203.0,,19913768,,history,[],3199905909.0,fasta,,23274988,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-06-04 14:14:01.778519,48729,556.98001
2015-03-13 06:42:06.926671,rodeo_normal,,main_w2_handler0,2230007,8940172,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10993224,vcf,3153584.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846286.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:45:51.904626,58799,224.977955
2016-10-10 10:52:09.432256,slurm_normal,,main_w4_handler1,2724092,14044111,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,913142268.0,vcf,913142268,vcf,8261388.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508a12c056513762d'}]",0,set_mask,Mask,"""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508a12c056513762d'}]",hg_g1k_v37,,cached,[],,,,33493559,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-10-10 10:57:16.792748,85338,307.360492
2015-06-16 15:10:26.793476,slurm_normal,,main_w2_handler0,2329767,9664984,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5469265540.0,vcf,13787,vcf,3974394.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,19904712.0,,0,set_mask,GMAF,"""False""",0,19924584.0,,hg_g1k_v37,,cached,[],,,,23658308,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-06-16 15:13:35.234800,48729,188.441324
2016-09-23 14:25:08.224957,slurm_normal,,main_w3_handler1,2712729,13925826,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,87990093,vcf,8148223.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52fc2c953a76730e8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6fbd6e7a9972b8a'}]",history,"[{""__index__"": 0, ""filter_expression"": ""QD < 10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filterqd""}, {""__index__"": 1, ""filter_expression"": ""MQ < 60"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filtermq""}, {""__index__"": 2, ""filter_expression"": ""MQRankSum < -10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filtermqranksum""}, {""__index__"": 3, ""filter_expression"": ""BaseQRankSum < -10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filterbaseqranksum""}, {""__index__"": 4, ""filter_expression"": ""FS > 10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filterfs""}, {""__index__"": 5, ""filter_expression"": ""ReadPosRankSum < -10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filterreadposranksum""}]",121182577.0,fasta,,32987327,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-09-23 14:28:34.176972,60924,205.95201500000002
2016-09-26 08:33:28.606484,slurm_normal,,main_w3_handler0,2712729,13941774,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,34883614,vcf,8163841.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b59c2bc5979f520fc0'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6fbd6e7a9972b8a'}]",history,"[{""__index__"": 0, ""filter_expression"": ""MQ < 60"", ""is_genotype_filter"": ""false"", ""filter_name"": ""custom_filter""}]",121182577.0,fasta,,32987327,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-09-26 08:38:50.971950,60924,322.365466
