parameters.random,id,runtime
65,3091,129600
68,5430,129600
67,4205,129600
34,6107,129600
88,4907,129600
97,5113,129600
82,5165,129600
62,7762,129600
21,8062,129600
44,4517,129600
94,7058,129600
11,311,129600
35,7773,129600
99,1409,129600
81,6320,129600
10,1826,129600
16,4194,129600
42,6044,129600
43,9466,129600
74,7446,129600
70,8695,129600
72,805,129600
7,8656,129600
71,577,129600
60,9881,129600
2,198,129600
87,3707,129600
95,2051,129600
48,3917,129600
26,1147,129600
12,357,129600
29,1907,129600
9,8922,129600
10,1955,129600
11,6036,129600
94,458,129600
6,6700,129600
20,6627,129600
46,9118,129600
24,7613,129600
23,8231,129600
38,8195,129600
26,7536,129600
34,5348,129600
67,6118,129600
61,7760,129600
90,9354,129600
31,1791,129600
75,1356,129600
2,8516,129600
89,596,129600
33,2318,129600
37,2966,129600
76,8170,129600
16,5327,129600
10,4733,129600
48,2849,129600
99,1830,129600
8,6930,129600
32,1548,129600
80,3168,129600
20,514,129600
0,6,129600
34,4389,129600
80,8601,129600
77,4470,129600
17,3580,129600
77,8370,129600
92,7101,129600
79,2563,129600
90,2263,129600
34,8490,129600
65,4004,129600
30,6302,129600
16,2012,129600
46,3230,129600
48,8349,129600
61,8112,129600
77,6500,129600
22,6870,129600
92,6907,129600
46,3175,129600
44,4388,129600
89,9837,129600
19,6369,129600
1,1352,129600
97,7955,129600
85,4766,129600
94,469,129600
69,5608,129600
93,2234,129600
38,1488,129600
11,6152,129600
24,7335,129600
51,9575,129600
41,7454,129600
92,3332,129600
94,53,129600
75,4287,129600
19,7587,129600
27,9456,129600
36,9017,129600
15,1750,129600
19,4552,129600
58,607,129600
82,5938,129600
8,1351,129600
87,1324,129600
15,3309,129600
16,3487,129600
73,4821,129600
26,7441,129600
39,6146,129600
99,1564,129600
47,8771,129600
9,498,129600
12,5051,129600
69,7642,129600
79,9515,129600
29,7460,129600
2,6952,129600
79,5189,129600
74,3931,129600
76,8562,129600
90,543,129600
16,2851,129600
13,2676,129600
8,1802,129600
57,6503,129600
70,2559,129600
54,6007,129600
92,5886,129600
34,2283,129600
15,6553,129600
23,4297,129600
41,6805,129600
23,5592,129600
25,8375,129600
55,2056,129600
35,7291,129600
27,3633,129600
50,3338,129600
88,7832,129600
82,5317,129600
20,8281,129600
9,9756,129600
34,929,129600
75,3343,129600
42,8779,129600
8,4589,129600
42,665,129600
30,1314,129600
0,2710,129600
8,1185,129600
33,3329,129600
81,8796,129600
54,9177,129600
67,4428,129600
9,611,129600
37,3046,129600
71,8409,129600
55,9014,129600
38,8522,129600
56,6786,129600
88,4897,129600
92,4025,129600
59,9307,129600
28,9181,129600
50,7897,129600
43,7530,129600
80,1013,129600
19,486,129600
21,732,129600
64,7877,129600
59,8756,129600
18,4113,129600
63,9008,129600
66,8882,129600
67,857,129600
65,1149,129600
32,2636,129600
6,9939,129600
16,2645,129600
38,1602,129600
26,3038,129600
6,6345,129600
29,7447,129600
66,5416,129600
39,9946,129600
19,8050,129600
29,2513,129600
48,4292,129600
64,982,129600
47,6434,129600
37,6120,129600
41,432,129600
5,183,129600
40,5614,129600
62,7168,129600
61,501,129600
54,3395,129600
61,8966,129600
23,7950,129600
90,550,129600
91,633,129600
88,8936,129600
48,4654,129600
97,1018,129600
27,5769,129600
51,6106,129600
87,7583,129600
11,541,129600
19,4714,129600
55,7895,129600
66,3281,129600
53,95,129600
97,3507,129600
98,8272,129600
87,6259,129600
67,8157,129600
59,3095,129600
69,5132,129600
64,8247,129600
94,4718,129600
70,2776,129600
10,6492,129600
36,5564,129600
23,2007,129600
2,1792,129600
52,4273,129600
75,6218,129600
15,4377,129600
35,210,129600
16,8875,129600
59,5233,129600
56,9888,129600
96,2322,129600
75,9333,129600
94,5276,129600
42,1448,129600
8,9087,129600
73,4920,129600
98,281,129600
59,9981,129600
49,4390,129600
31,7692,129600
23,1881,129600
36,5012,129600
54,5434,129600
87,8876,129600
42,5578,129600
89,7131,129600
36,6559,129600
13,5616,129600
94,6842,129600
1,6398,129600
46,8438,129600
83,1648,129600
60,1262,129600
58,5487,129600
80,1920,129600
29,9678,129600
97,4231,129600
43,7472,129600
1,7703,129600
85,574,129600
65,797,129600
97,9967,129600
73,5845,129600
3,5287,129600
76,7805,129600
58,1787,129600
78,2918,129600
80,8188,129600
34,6195,129600
59,1209,129600
29,4065,129600
48,3532,129600
42,4369,129600
44,8988,129600
68,1130,129600
6,1405,129600
99,1160,129600
55,166,129600
87,6487,129600
88,4572,129600
26,2678,129600
27,9134,129600
86,5007,129600
92,476,129600
90,9312,129600
59,6940,129600
11,5120,129600
25,9185,129600
98,9214,129600
6,4747,129600
99,4840,129600
56,2145,129600
80,8322,129600
31,5447,129600
72,7457,129600
2,4772,129600
69,5151,129600
26,6087,129600
64,7233,129600
39,9400,129600
50,8538,129600
88,3096,129600
57,8748,129600
76,1754,129600
80,2486,129600
57,3187,129600
90,7623,129600
30,8744,129600
54,3755,129600
88,6505,129600
50,9901,129600
18,4554,129600
11,5082,129600
80,3999,129600
18,8420,129600
13,1170,129600
57,1728,129600
19,672,129600
62,7765,129600
85,7508,129600
68,1938,129600
83,3772,129600
54,3444,129600
96,6453,129600
16,3263,129600
92,7794,129600
72,5930,129600
41,6929,129600
44,2922,129600
55,661,129600
85,9527,129600
92,3495,129600
86,2314,129600
90,6847,129600
74,287,129600
77,2358,129600
79,8753,129600
68,8274,129600
97,3148,129600
87,1108,129600
61,3412,129600
85,124,129600
44,2317,129600
66,8714,129600
50,8260,129600
37,2992,129600
97,4901,129600
87,5689,129600
14,7851,129600
71,1111,129600
60,3290,129600
25,5235,129600
56,2611,129600
87,5523,129600
77,7868,129600
52,6381,129600
33,7772,129600
62,1924,129600
45,2531,129600
67,7203,129600
99,448,129600
10,8036,129600
15,6804,129600
66,1535,129600
4,7429,129600
55,3748,129600
45,3202,129600
47,4261,129600
19,2733,129600
79,5905,129600
48,5755,129600
20,3789,129600
66,3951,129600
37,5075,129600
95,4350,129600
31,2669,129600
14,1855,129600
65,347,129600
59,874,129600
97,3893,129600
26,260,129600
11,9265,129600
62,6306,129600
64,8720,129600
81,888,129600
33,4014,129600
83,5900,129600
48,3751,129600
11,8879,129600
55,6596,129600
92,5538,129600
86,1373,129600
36,418,129600
84,7107,129600
85,5593,129600
22,6303,129600
54,9483,129600
66,2524,129600
97,649,129600
60,6680,129600
63,1241,129600
13,8561,129600
13,2693,129600
27,1354,129600
54,1614,129600
80,3514,129600
31,3868,129600
4,2489,129600
95,8237,129600
63,1192,129600
9,3222,129600
0,4081,129600
26,5987,129600
78,5914,129600
92,5303,129600
10,3934,129600
27,3500,129600
39,447,129600
74,1416,129600
27,5374,129600
81,3954,129600
6,7529,129600
40,3832,129600
36,4618,129600
60,5460,129600
70,9839,129600
74,2535,129600
39,8462,129600
19,4418,129600
61,4673,129600
80,2720,129600
52,1376,129600
14,2774,129600
85,1741,129600
8,9447,129600
54,3441,129600
13,7879,129600
33,2763,129600
74,5325,129600
98,9257,129600
69,1411,129600
75,2957,129600
30,9993,129600
30,1123,129600
7,9793,129600
2,5016,129600
1,7759,129600
3,6884,129600
6,2670,129600
12,6838,129600
59,7708,129600
75,893,129600
41,4110,129600
8,2845,129600
14,5458,129600
33,7952,129600
21,6550,129600
73,4465,129600
6,6751,129600
6,4093,129600
42,5047,129600
61,4208,129600
43,6657,129600
0,8229,129600
10,980,129600
80,6435,129600
81,6055,129600
69,2226,129600
42,9831,129600
22,1983,129600
99,3795,129600
26,7384,129600
65,9460,129600
60,6175,129600
71,4421,129600
83,8961,129600
52,6592,129600
15,8681,129600
6,4159,129600
52,4394,129600
63,7334,129600
43,6447,129600
97,8194,129600
23,6400,129600
27,3044,129600
24,9294,129600
40,5476,129600
39,2395,129600
80,1852,129600
33,7853,129600
95,3961,129600
16,7260,129600
84,9982,129600
23,2190,129600
89,8282,129600
41,8808,129600
74,2962,129600
77,4218,129600
94,1557,129600
82,2432,129600
27,6205,129600
72,7411,129600
37,7120,129600
53,9069,129600
65,7611,129600
2,7053,129600
24,262,129600
