create_time,destination_id,exit_code,handler,history_id,history_item,history_item_filetype,id,imported,info,input_format|paired|forward,input_format|paired|forward_filetype,input_format|paired|reverse,input_format|paired|reverse_filetype,input_format|reads,input_format|reads_filetype,job_runner_external_id,job_runner_name,known_splice_gtf,known_splice_gtf_filetype,library_folder_id,object_store_id,param_filename,parameters.__job_resource.__current_case__,parameters.__job_resource.__job_resource__select,parameters.__job_resource.tacc_compute_resource,parameters.__workflow_invocation_uuid__,parameters.alignment_options.__current_case__,parameters.alignment_options.alignment_options_selector,parameters.alignment_options.coefficient,parameters.alignment_options.constant_term,parameters.alignment_options.function_type,parameters.alignment_options.ignore_quals,parameters.alignment_options.skip_forward,parameters.alignment_options.skip_reverse,parameters.chromInfo,parameters.dbkey,parameters.input_format.__current_case__,parameters.input_format.input_format_selector,parameters.input_format.paired.__current_case__,parameters.input_format.paired.aligned_file,parameters.input_format.paired.collection.__current_case__,parameters.input_format.paired.collection.collection_selector,parameters.input_format.paired.collection.forward.values,parameters.input_format.paired.collection.reverse.values,parameters.input_format.paired.paired_end_options.__current_case__,parameters.input_format.paired.paired_end_options.no_discordant,parameters.input_format.paired.paired_end_options.no_mixed,parameters.input_format.paired.paired_end_options.paired_end_options_selector,parameters.input_format.paired.paired_end_options.skip_reverse,parameters.input_format.paired.paired_selector,parameters.input_format.paired.reads.values,parameters.input_format.paired.unaligned_file,parameters.input_options.__current_case__,parameters.input_options.input_options_selector,parameters.input_options.skip,parameters.input_options.stop_after,parameters.input_options.trim_five,parameters.input_options.trim_three,parameters.max_primary,parameters.max_seeds,parameters.paired_options.__current_case__,parameters.paired_options.contain,parameters.paired_options.dovetail,parameters.paired_options.maxins,parameters.paired_options.minins,parameters.paired_options.no_discordant,parameters.paired_options.no_mixed,parameters.paired_options.overlap,parameters.paired_options.paired_options_selector,parameters.reference_genome.__current_case__,parameters.reference_genome.history_item.values,parameters.reference_genome.index,parameters.reference_genome.reference_genome_source,parameters.scoring_options.__current_case__,parameters.scoring_options.ambiguous_penalty,parameters.scoring_options.coefficient,parameters.scoring_options.constant_term,parameters.scoring_options.function_type,parameters.scoring_options.match_bonus,parameters.scoring_options.max_mismatch,parameters.scoring_options.min_mismatch,parameters.scoring_options.no_softclip,parameters.scoring_options.read_extend_penalty,parameters.scoring_options.read_open_penalty,parameters.scoring_options.ref_extend_penalty,parameters.scoring_options.ref_open_penalty,parameters.scoring_options.scoring_options_selector,parameters.scoring_options.soft_clip_penalty_max,parameters.scoring_options.soft_clip_penalty_min,parameters.secondary,parameters.spliced_options.__current_case__,parameters.spliced_options.canonical_penalty,parameters.spliced_options.coefficient,parameters.spliced_options.constant_term,parameters.spliced_options.function_type,parameters.spliced_options.known_splice_gtf.values,parameters.spliced_options.max_intron,parameters.spliced_options.min_intron,parameters.spliced_options.nc_coefficient,parameters.spliced_options.nc_constant_term,parameters.spliced_options.nc_function_type,parameters.spliced_options.no_spliced_alignment_options.__current_case__,parameters.spliced_options.no_spliced_alignment_options.maxins,parameters.spliced_options.no_spliced_alignment_options.minins,parameters.spliced_options.no_spliced_alignment_options.no_spliced_alignment,parameters.spliced_options.noncanonical_penalty,parameters.spliced_options.rna_strandness,parameters.spliced_options.spliced_options_selector,parameters.spliced_options.tma,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2017-12-13 21:24:21.163727,slurm_multi,,main_w3_handler2,3364264,,,17800902,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",348246084.0,fastq.gz,340649595.0,fastq.gz,,,11870337,slurm,1249402843.0,gtf,,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 32905801}]","[{'src': 'hda', 'id': 32905990}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""10""","""10""",1,true,true,500,0,false,false,true,advanced,0,,hg38,indexed,0,,,,,,,,,,,,,defaults,,,"""true""",1.0,0,1.0,-8.0,G,"[{'src': 'hda', 'id': 32915294}]",500000,20,1.0,-8.0,G,1.0,,,,12,R,advanced,--dta,,42638046.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-12-15 09:24:52.022413,48306,129630.858686
2017-08-28 21:33:10.546118,slurm_multi_development,,main_w3_handler2,3215370,3161924569.0,fasta,16677211,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,,,3987271513.0,fastqsanger,10749377.roundup,slurm,151467494.0,gtf,,corral-repl,,1,yes,slurm_multi_development,,0,defaults,,,,,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",1,fastq,1,false,,,,,,,,,,single,"[{'src': 'hda', 'id': 30803850}]",false,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 30827751}]",,history,0,,,,,,,,,,,,,defaults,,,"""false""",1.0,0,1.0,-8.0,G,"[{'src': 'hda', 'id': 31020482}]",500000,20,1.0,-8.0,G,0.0,500,0,--no-spliced-alignment,10000000,,advanced,,,40116301.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-08-28 22:03:48.645113,109889,1838.098995
2018-03-05 03:54:07.372450,slurm_multi,,main_w4_handler2,3244695,,,18604804,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4790829440.0,fastq.gz,5323637686.0,fastq.gz,,,12700186,slurm,,,,corral-repl,,0,no,,"""d8a4eef2202811e8853d005056ba2773""",0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 34207784}]","[{'src': 'hda', 'id': 34207785}]",0.0,,,defaults,,paired,,true,1,advanced,0,0,11,60,"""""","""""",1,false,false,500,0,false,false,false,advanced,0,,hg38,indexed,1,1,-0.2,0.0,L,2,5,2,false,1,3,1,3,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2018-03-06 15:54:35.737113,39773,129628.36466300001
2018-03-05 03:40:08.928882,slurm_multi,,main_w3_handler2,3244695,,,18604765,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4790829440.0,fastq.gz,5323637686.0,fastq.gz,,,12700139,slurm,,,,corral-repl,,0,no,,"""e552723e202611e88bfb005056ba55fb""",0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg38.len""","""hg38""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 34207784}]","[{'src': 'hda', 'id': 34207785}]",0.0,,,defaults,,paired,,true,1,advanced,0,0,11,60,"""""","""""",1,false,false,500,0,false,false,false,advanced,0,,hg38,indexed,1,1,-0.2,0.0,L,2,3,1,false,1,2,1,2,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2018-03-06 15:40:36.293607,39773,129627.364725
2018-01-29 17:33:41.289081,slurm_multi,,main_w3_handler2,3383216,,,18191108,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,,,7394828811.0,fastqsanger,12271980,slurm,,,,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,1,false,,,,,,,,,,single,"[{'src': 'hda', 'id': 33550508}]",false,0,defaults,,,,,"""""","""""",0,,,,,,,,defaults,0,,hg38,indexed,0,,,,,,,,,,,,,defaults,,,"""false""",0.0,,,,,,,,,,,,,,,,,defaults,,,43008390.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2018-01-31 05:45:52.917802,89476,130331.628721
2017-11-03 18:41:45.313677,slurm_multi,,main_w3_handler2,3306166,410641523.0,fasta,17321667,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4422513251.0,fastqsanger.gz,4868173271.0,fastqsanger.gz,,,11382368,slurm,,,,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 31992852}]","[{'src': 'hda', 'id': 31992851}]",0.0,,,defaults,,paired,,false,0,defaults,,,,,"""""","""""",1,true,false,500,0,true,true,true,advanced,1,"[{'src': 'hda', 'id': 31992849}]",,history,1,1,-0.2,0.0,C,2,6,2,false,3,5,3,5,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,41321373.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-05 08:12:54.140985,81513,135068.827308
2017-11-03 18:23:39.108503,slurm_multi,,main_w4_handler2,3306166,410641523.0,fasta,17321187,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4422513251.0,fastqsanger.gz,4868173271.0,fastqsanger.gz,,,11381137,slurm,,,,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 31992852}]","[{'src': 'hda', 'id': 31992851}]",1.0,true,true,advanced,false,paired,,false,0,defaults,,,,,"""""","""""",1,true,false,500,0,true,true,true,advanced,1,"[{'src': 'hda', 'id': 31992849}]",,history,1,1,-0.2,0.0,C,2,6,2,false,3,5,3,5,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,41321373.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-05 06:43:53.877564,81513,130814.76906100001
2017-11-03 22:17:15.170412,slurm_multi,,main_w4_handler2,3306166,410641523.0,fasta,17323452,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",4422513251.0,fastqsanger.gz,4868173271.0,fastqsanger.gz,,,11395744,slurm,,,,corral-repl,,0,no,,,0,defaults,,,,,,,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,0,false,1.0,files,"[{'src': 'hda', 'id': 31992852}]","[{'src': 'hda', 'id': 31992851}]",1.0,true,true,advanced,false,paired,,false,0,defaults,,,,,"""""","""""",1,true,false,100,0,true,true,true,advanced,1,"[{'src': 'hda', 'id': 31992849}]",,history,1,1,-0.2,0.0,C,2,6,2,false,3,5,3,5,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,41321373.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-06 18:44:31.870555,81513,246436.70014300002
2017-11-16 00:19:40.773374,slurm_multi,,main_w3_handler2,3282490,121662600.0,fasta,17476344,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,,,1170403486.0,fastqsanger.gz,11533516,slurm,76462179.0,gtf,,corral-repl,,0,no,,,1,advanced,0.15,0.0,L,false,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/?.len""","""?""",1,fastq,1,true,,,,,,,,,,single,"[{'src': 'hda', 'id': 32299912}]",true,1,advanced,0,0,0,0,"""""","""""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 31896029}]",,history,1,1,-0.2,0.0,L,2,6,2,false,3,5,3,5,advanced,2,1,"""true""",1.0,0,1.0,-8.0,G,"[{'src': 'hda', 'id': 32296782}]",6000,5,1.0,-8.0,G,0.0,500,0,--no-spliced-alignment,12,,advanced,,,41203124.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-17 13:57:41.247332,113329,135480.47395800002
2017-11-20 09:59:42.342656,slurm_multi,,main_w4_handler2,3140599,194966.0,fasta,17515991,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",,,,,118777736.0,fastqsanger.gz,11575823,slurm,,,,corral-repl,,0,no,,,1,advanced,0.15,0.0,C,false,false,false,"""/cvmfs/data.galaxyproject.org/managed/len/ucsc/hg_g1k_v37.len""","""hg_g1k_v37""",1,fastq,1,true,,,,,,,,,,single,"[{'src': 'hda', 'id': 32412881}]",false,1,advanced,0,0,0,0,"""100""","""""",0,,,,,,,,defaults,1,"[{'src': 'hda', 'id': 32413174}]",,history,1,1,-0.2,0.0,C,2,6,2,false,3,5,3,5,advanced,2,1,"""false""",,,,,,,,,,,,,,,,,,,,,42111891.0,error,toolshed.g2.bx.psu.edu/repos/iuc/hisat2/hisat2/2.0.5.2,2.0.5.2,,2017-11-21 21:59:58.001861,44237,129615.659205
