create_time,destination_id,exit_code,handler,history_id,id,imported,info,input,input_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.__workflow_invocation_uuid__,parameters.chromInfo,parameters.dbkey,parameters.input,parameters.input.values,parameters.scale,parameters.split,parameters.strand,parameters.zero_regions,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-17 17:38:14.122049,rodeo_normal,,main_w2_handler1,2105727,8969779,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3127942089,bed,3206443.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744851,,"""0.022481132""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-19 05:38:29.563047,55361.0,129615.440998
2015-03-17 17:37:41.112355,rodeo_normal,,main_w2_handler1,2105727,8969774,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",2594278480,bed,3206420.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744850,,"""0.02764383""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-19 05:37:58.298987,55361.0,129617.18663200001
2015-03-17 17:37:57.090293,rodeo_normal,,main_w1_handler0,2105727,8969776,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",3590450333,bed,3206435.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744852,,"""0.019458106""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-19 05:38:27.776584,55361.0,129630.686291
2015-03-17 17:37:16.406288,rodeo_normal,,main_w2_handler1,2105727,8969768,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",1481828967,bed,3206406.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",18744849,,"""0.048105571""","""False""","""""","""True""",,21022339,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-03-19 05:37:57.717385,55361.0,129641.31109700001
2015-03-31 07:54:00.410411,rodeo_normal,,main_w1_handler0,2253758,9098771,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",669283143,bed,3385108.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/mm9.len""","""mm9""",19057862,,"""""","""False""","""""","""True""",,22112587,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-04-01 19:54:29.394600,,129628.98418900001
2015-04-21 14:26:52.886053,slurm_normal,,main_w2_handler1,2276346,9289513,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",134342044,bed,3600168.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg18.len""","""hg18""",19391764,,"""""","""False""","""""","""True""",,22607210,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-04-23 02:27:20.118625,,129627.23257200001
2015-05-15 19:37:27.624340,slurm_normal,,main_w1_handler0,2307765,9480621,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",8500759,bed,3804371.roundup,slurm,,corral-repl,,,"""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",19725124,,"""""","""False""","""""","""False""",,21304620,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-05-17 07:38:15.415699,53164.0,129647.79135900001
2015-06-03 09:58:16.094339,slurm_normal,,main_w1_handler0,1543741,9588633,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",646572475,bed,3900776.roundup,slurm,,corral-repl,,"""0d730f3a09d711e585b0005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701668,,"""""","""False""","""""","""True""",,23419936,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-06-04 21:59:17.083519,37538.0,129660.98918
2015-06-03 09:57:43.741268,slurm_normal,,main_w2_handler0,1543741,9588625,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",20891634361,bed,3900770.roundup,slurm,,corral-repl,,"""f9de4c3209d611e5adbf005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11639657,,"""""","""False""","""""","""True""",,23419936,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-06-04 21:58:16.260774,37538.0,129632.51950600001
2015-06-03 09:58:33.604478,slurm_normal,,main_w2_handler1,1543741,9588639,False,"This job was terminated because it ran longer than the maximum allowed job run time.
Please click the bug icon to report this problem if you need help.",560828915,bed,3900781.roundup,slurm,,corral-repl,,"""1701f5e809d711e58127005056a51846""","""/galaxy-repl/localdata/chrom/hg19.len""","""hg19""",11701677,,"""""","""False""","""""","""True""",,23419936,error,toolshed.g2.bx.psu.edu/repos/aaronquinlan/bedtools/bedtools_genomecoveragebed_bedgraph/0.1.0,0.1.0,,2015-06-04 21:59:14.958122,37538.0,129641.353644
